<br><font color=teal>*Lulu(Reesespuffs) says: and drop your pants. - Sun Nov  8 03:03:28 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) gets down onto her knees. she moves to slide his boxers down taking his member into her hands and began to stroke it gently. She gives the tip a little lick just trying to tease it into getting stiff. Once it did she would take three inches of it into her mouth working on massaging the tip with her tongue as she sucks taking in few more inches as she stil moves her hand in stroking his shaft. 

After doing the for a few mintuse she would pull her head back and would spit onto it then taking it back ito her mouth sucking and massaging it some more. She pulls back spitting on his memebe rusing her hands to rub that spit in to make it easer for her to stroke his shaft a little faster. She hten moves her head to go back to sucking and massaging tose few inches then carefully relaxing her thraot as she moves to let more of it slide into her mouth trying to get all of him into her mouth.* - Sun Nov  8 03:07:44 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) Gags just a little but then leans her head back spitting his cock out of her mouth. She wipes her lips a litlte and goes back to jerking him off looking up to man for just few seconds. "Baby, right now my age doesn't matter. Just enjoy your time."She said moving to take some more of him into her mouth now picking up her speed. She was really working it now tryint to get him reac that oh so needed nut his body had in him.

Her free hand just rests on her lap and slowly she counts in her head timing tos ee how long he lasts.* - Sun Nov  8 03:17:07 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) just kept on doing her job untill she felt him burst. she pulls away and gags a little spitting all his cum onto the ground next to her then wiping her mouth. She would then looks up to him seeing how relaxed he seemed..

"I'm sixteen. "She said.* - Sun Nov  8 03:21:23 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Oh so now you want ot be a big spender. - Sun Nov  8 03:23:56 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I didn't realize how good you were at it. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: For right now I'll just take the ryo for the blowjob. - Sun Nov  8 03:24:48 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Hey man. - Sun Nov  8 03:26:30 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: The deal was for a blowjob. - Sun Nov  8 03:26:30 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: You know you liked the taste of it. - Sun Nov  8 03:26:30 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: If I did doesn't mean you can just assume you can ask for seconds. - Sun Nov  8 03:27:21 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: At least pay me for this. - Sun Nov  8 03:27:21 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Then I'll move on to next thing. - Sun Nov  8 03:27:21 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: And what what are you gonna do once I pay you? - Sun Nov  8 03:27:21 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: What's next? - Sun Nov  8 03:27:21 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Not sure whats next, you might want to tell me. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: So I can give your a price. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: you* - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: What do you offer? - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: If you can pay for it every thing you see. - Sun Nov  8 03:28:12 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Don't get me wrong. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Your dick is nice. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm. . . - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: But I got o try make a living here. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Then how much to make you mine, forever? - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Not sure. - Sun Nov  8 03:29:04 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Name a price. - Sun Nov  8 03:29:55 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: thats a lot of work. - Sun Nov  8 03:29:55 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: But it's also a lot of pleasure for you. - Sun Nov  8 03:29:55 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: To put in for just one person. - Sun Nov  8 03:29:55 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Trust me. - Sun Nov  8 03:29:55 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: I guess you can be my sugar ddy. - Sun Nov  8 03:29:55 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I can pleasure you in ways no one else in the world can, plus the money. - Sun Nov  8 03:29:55 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Buy me anything and every thing I want. - Sun Nov  8 03:30:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Sun Nov  8 03:30:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: With in reason. - Sun Nov  8 03:30:46 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Nah. - Sun Nov  8 03:30:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Look. - Sun Nov  8 03:30:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Take the deal. - Sun Nov  8 03:30:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Either you take it, or I just force you to be mine. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: That simple. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: .... - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Why you got to be like that? - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Because you give damn good head. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Fine I'll stick around if you spoil me. - Sun Nov  8 03:31:37 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Fine. - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Deal. - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: deal - Sun Nov  8 03:32:28 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Now I gues I got some cum to lick up. - Sun Nov  8 03:32:28 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) leans over and lick up the cum on the floor then moves to take his member back into her mouth relaxing her throat and letting it slide all the way inside. She then spits it back out and looks at him. "You can face fuck me hard for a good trhee mintuse. Then I have to take a breather."she said before taking it back into her mouth relaxing her throat letting it slide all way back she figured he would grip her head and do his thing.* - Sun Nov  8 03:35:02 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) Would nod to him standing up. 

"Okay."She said taking a step back then quickly kicking her right foot up letting it rest on his shoulder. She hten carefuly gets closer to him yes she had her leg up that high and was able to have it flex like that. 

"I just got to stretch if you dont mind."she said* - Sun Nov  8 03:41:52 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Thats sweet. - Sun Nov  8 03:44:25 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hmph. - Sun Nov  8 03:45:16 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) carefully puts her leg back down but does it slowly. She then grips onto his shirts colar and starts to walk over to his bed trying to drag him along. Once near the bed she moves to push him onto it.* - Sun Nov  8 03:45:16 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) thinks: I wonder if she'd like it if I filled her all the way up in every hole. - Sun Nov  8 03:46:59 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Cute face. - Sun Nov  8 03:49:32 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: Heh. - Sun Nov  8 03:50:24 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) Would stand up onto the bed. Her left foot would rest near his head and her righ down between his legs. She then carefuly starts to spread her legs farther apart doign the splits it seemed. She does this quickly doing a full split down using her hands to catch her self. She doesn't land on his rod no that might break it just next to it..

"enjoying the show?"She asked* - Sun Nov  8 03:52:06 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Well I guess next it where you get to ram into this perfect body. - Sun Nov  8 03:54:40 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Just debends on what hole do you want your monster of a cock to stretch out. - Sun Nov  8 03:55:31 2015
<br><br><font color=teal>*Lulu(Reesespuffs) says: Honestly I like in my ass first. - Sun Nov  8 03:55:31 2015
<br><br><font color=teal>*Tetsuki, Jehan(Chaos Commander2015) says: I'm fine with that~ Though you have to do the work, it's been a long day~ - Sun Nov  8 03:57:13 2015
<br><br><font color=yellow>*Lulu(Reesespuffs) would carefuly turn so her back faces him. She carefuly lines her self up on his lap and owuld then use her hand to line his tip up. Carefuly she starts to lower her self down letting his tip slid einto her ass taking inch after inch of him in slowly at first. 

"Wow you have a gift here."she said.* - Sun Nov  8 04:00:38 2015
