<br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Doing what must be done.. It isn't just the people that want this, but the shinobi, and I. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . . - Tue Dec  8 06:53:52 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Have the sensors on high alert as well. - Tue Dec  8 07:02:24 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Got it sir - Tue Dec  8 07:04:57 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: ...Not bad at all.... - Tue Dec  8 07:13:29 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: The traps that had been unearthed from Edge. I wish to have them scattered about, and activated towards various of our ground points with shinobi manning the outskirts informing people to turn away  - and of course they refuse they will go boom, or be shown the way. Takuma, Eiji, can you do this for me? - Tue Dec  8 07:16:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Set up the bombs? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What if I trip and fall? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Mh- - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Don't..... - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Send your frogs to do it for you. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: They're agile. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: And they can disperse. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I like the way you think. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ..True... - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Get to it, Takuma. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Tauma.- - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: - - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: yo. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What about your carrot! - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Baka!  - Tue Dec  8 07:16:54 2015
