<br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Doesn't even share. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) thinks: Gone again. - Sun Oct  4 23:54:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) whispers: Well Taiga, did you enjoy terrorizing me there? - Sun Oct  4 23:54:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Oct  4 23:55:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where'd he go - Sun Oct  4 23:55:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *o.o* - Sun Oct  4 23:55:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Guess you guys were hastling him too hard. - Sun Oct  4 23:55:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Oh right before I forget, always wear yourSunagakure headbands. - Sun Oct  4 23:56:35 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Keep ur protectors on. - Sun Oct  4 23:58:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm always packing protection, - Sun Oct  4 23:58:17 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Your forehead protectors. - Sun Oct  4 23:58:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: That's what I meant? - Sun Oct  4 23:58:17 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Lord Hassan! If you may purchase me weights, it will amplify my youth! - Sun Oct  4 23:58:17 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do any of you know what the protector symbolizes in Sunagakure? - Sun Oct  4 23:59:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: *ttly ignored the motherfucker* - Sun Oct  4 23:59:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope no ideal. - Sun Oct  4 23:59:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No... - Sun Oct  4 23:59:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It symbolizd that you practice Faith, Brother and Sisterhood, The constant pesuit of happiness , and the strive for perfection and unity while preserving individual identity. - Mon Oct  5 00:00:00 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: I must gain the attention of Lord Hassan! He has the right to ignore me, his youth is far greater than my own! - Mon Oct  5 00:00:00 2015
