<br><font color=teal>*Komaru(JustCallMeGnar) says: S-Stop being so mean.. - Wed Oct  7 03:47:50 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Grow a pair or shut up. - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Komaru(JustCallMeGnar) says: ... - Wed Oct  7 03:51:15 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I'm pretty sure I come from the same place as she does.  - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Don't think anyone takes honor in being in her presence..... - Wed Oct  7 04:54:24 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked and tried to sneakily sneak past them, though it was pretty loud and playful.* - Wed Oct  7 04:54:24 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked at the conversation that she heard as she walked up, not knowing what the guy had said at all. She was very confused right now. "Umm, what are you saying?" She assumed she was saying this from behind him, and him turning around might confuse him as he wouldn't see her since she had the height of a nine year old girl.* - Wed Oct  7 04:58:40 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked as he talked, nodding at him before turning her eyes over towards the younger boy. Walking over towards him slowly, she'd wave friendly at him as she approached from the side. 

"Hey, do you mind if I train with you?"

Hopefully she could get a friend in the process of practicing her jutsu.* - Wed Oct  7 05:09:45 2015
<br><br><font color=yellow>*Nina(Ninasky115) shook her head as she turned at the water on the ground. Turning back at him, she'd shake her head again as if he didn't see it.

"I use wind ninjutsu, I just don't want to train alone. And I can help make your jutsu stronger later in the future." She'd smile and push a thumbs up towards him.* - Wed Oct  7 05:14:52 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked a little as she looked at Heiwa, staring in his eyes as she waited for his response. "Just uhhh, practice your jutsu, and I'll use my jutsu. I just don't want to be alone when I do this."

Turning her head over towards the side that he was shooting, she'd smile and nod, signalling him to keep going.* - Wed Oct  7 05:25:07 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hello. - Wed Oct  7 22:35:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Heey.~ - Wed Oct  7 22:35:05 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: How're you? - Wed Oct  7 22:35:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Good.~ - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: That's good. - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm.~~ - Wed Oct  7 22:36:48 2015
