<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: She yeah... - Fri Dec  4 02:13:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: She 'dumped me'? - Fri Dec  4 02:14:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: She found out about something that would upset her and pretty much it was a goodbye letter. - Fri Dec  4 02:14:49 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ...... - Fri Dec  4 02:15:40 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I uh.. - Fri Dec  4 02:15:40 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm sorry to hear.. - Fri Dec  4 02:15:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I got to go.. - Fri Dec  4 02:15:40 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Right, right.. - Fri Dec  4 02:16:32 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Of course, uh.. - Fri Dec  4 02:16:32 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Be easy, Kuro-chan.. - Fri Dec  4 02:16:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...hah...be easy, Tsu-kun. - Fri Dec  4 02:16:32 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) blinked a few times and waved like a little kid saying bye to their parent through the house window.* - Fri Dec  4 02:18:14 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: I don't know... I just... - Fri Dec  4 04:02:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ... Yeah, I'll come keep you company yo. - Fri Dec  4 04:03:12 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) sat up like The Undertaker, opening his eyes and yawning.

"AHHHHH!!!!!"* - Tue Dec  8 11:53:23 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) looked around until his eye caught glimpse of a ghost.* - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: EH!? - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ARE YOU REAL!? - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....yeah? - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ............ - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Prove it. - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's only been a week, Tsu-san. - Tue Dec  8 11:55:05 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ........... - Tue Dec  8 11:55:05 2015
<br><br><font color=yellow>*Ookina, Tsubasa(Itachi4x4) taps his chin.* - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Er... - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Okay I'll believe you for now! - Tue Dec  8 11:55:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you high? - Tue Dec  8 11:55:56 2015
