<br><font color=teal>*Alastor(LordxPatrick) says: Would you like to hear it? - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It involves my Sensei's sword. Samehada. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I don't know why you're asking. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Your life is on the line. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: and i'm about to cut that line. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: If he attacked someone affliated with sunagakure, how says he won't do it again? - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And theres no safety net. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If I tell you about the sword, will you allow me to live? - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I know all about Samehada. - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Not it's location., - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was the Head Councilman of Kirigakure for 25 years. - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It was sealed away. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I know where. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If it was on his body then it's gone. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It was not. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Talking to you is iritating. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: At this rate i'm going to cut your head off. - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I suggest you play these games with Jiki. - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Maybe he will spare you. - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Right. Leave me to the game I just exposed... - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Maybe you should have showed some respect. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Bit your toungue. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But obviously you dont care about your life. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I see you're the kind of man who doesn't care about his own village,. - Thu Oct  8 03:16:41 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) had enough at this point, he held it in for too long. As a manipulator he tried, he tried to build patience with him but slandering his name..Plus he spoke about the beast within, didn't people ever thought about his feelings or the beast? Annoying or not, he was a seperate entity and so was Tetsu. "People like you, you're the type that ruined my child hood.." with each word his chakra intensified, it became cold as the words he spoke, the iron cork undid it falling to the floor at the teen's feet. "The type that never understod, the type that snuffed the life of my grandmother, the type that labled me with out knowing. I have to regrets." 

his words died as iron sand erupted from his gourd, it went right through the cell for the manipulator. His eyes were cold for a moment, the sand itself quickly consumed the red head's body. There was a pause, probably about ten seconds elasped a moment for the manipulator to treasure what remained of his life. His eyes shut, it was closed off to the world as he shut his open palm. This action intensified the pressure in the sand until it imploded potentially killing him. Blood splattered mixed in with iron sand, it scattered about some of the blood even managing to stain the teen's face with the crimson liquid from the potentially deceased ex shinobi. "I hold no regrets." the teen thought, maybe it wasn't the best course of action? Maybe it was, who knew.* - Thu Oct  8 03:29:29 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Basically. Third Eye + SAnd Clone.) - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Henge your gourd.) - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Put all the sand into clone.) - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (OP as shit. XD) - Thu Oct  8 03:38:01 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) shook his head, his sand returned to his gourd where he usually stored itself. The iron cork that once was on the floor levitated back into place sealing off the gourd from potential spills."It was, it'd prevent choas for the future and safety of the village. That one a top the bird earlier was another mistake, he too once was a shinobi of sunagakure." meaning sabo, though his words were true and he'd stick to his action and beliefs as well. Sunagakure had to thrieve in a positive direction, not like in Jak's reign.* - Thu Oct  8 03:44:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then I support your descsion. - Thu Oct  8 03:44:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get some rest soldier. - Thu Oct  8 03:44:51 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) shook his head heeding Hassan's words, though having a rest was out of the picture for him he'd at least relax somewhere to himself. The body of the deceased, he'd leave that to the prison guards to relocate and burry it off somewhere nice.* - Thu Oct  8 03:45:42 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Heeey. - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Does anyone want to spar me? - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll give you one-hundred thousand yen if you win. - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Bring me this hat back though haha. - Thu Oct  8 03:47:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: No thanks - Thu Oct  8 03:47:24 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) returned to the scene, his clothing was stained with blood. Though he didn't seem to awknowleadge the individuals in the area, he'd just take a seat by himself at an idle bench.* - Thu Oct  8 03:48:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit my earlier statement- - Thu Oct  8 03:48:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Badass hat Iza.. - Thu Oct  8 03:49:07 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Yan-san. - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm? - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Nice arm wrestle we had earlier. - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Do you think we could train together? - Thu Oct  8 03:50:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be willing to train with you. - Thu Oct  8 03:51:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: First I would like to speak to Hassan. - Thu Oct  8 03:52:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Is he asleep? - Thu Oct  8 03:53:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I suppose that's that. - Thu Oct  8 03:55:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Alright. - Thu Oct  8 03:56:48 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Let's train then. - Thu Oct  8 03:56:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I think I might have to learn anatomy on my own... - Thu Oct  8 04:12:09 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Oi, Bry-guy baptise meh. - Thu Oct  8 04:14:43 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hmm? - Thu Oct  8 04:19:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes Koji? - Thu Oct  8 04:22:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You want to be baptized... are you christian? - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I like to see myself as one. - Thu Oct  8 04:24:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I practice forgiveness. - Thu Oct  8 04:24:57 2015
