<br><font color=teal>*Sanoke(Gamuhz2) says: Come.. - Sat Nov  7 10:47:15 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: . - Sat Nov  7 11:06:01 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) stood against the wooden frame, her full weight upon her back with ankles crossed and the rest of her weight on her heels. She had a tiny notebook she was reading through and occasionally forming little ticks or scribbling a note here and there as she flipped through the thin tiny pages.* - Sat Nov  7 11:27:21 2015
<br><br><font color=teal>*Lera(Bailey42) says: *yawn* - Sat Nov  7 11:28:12 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) paused her scribble scrabble and peered over at the hooded woman. The fact she was talking to a rather large club, yes that's what it looked like to Kiyoko, made her look rather insane. A single brow slowly rose as she wiggled her nose for a moment in a sniff of the desert air and watched the woman for a short while. No harm in people watching right? Especially if they were crazy people.* - Sat Nov  7 11:37:36 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Whats she been doing now...? - Sat Nov  7 11:41:00 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) squinted sightly at the fact she just ....squeaked. Now she was an insane...mouse? Taking a few steps closer trying to get a better look but hoping that because she was walking upon sand she wouldn't be heard very easily she tried to peer at whatever the woman was doing. She couldn't possibly be seriously speaking with a 'club'. Then the girl froze when she heard some other voices in the distance and saw yet another person speaking to an inanimate object! What was wrong with these people?!* - Sat Nov  7 11:42:43 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hm? - Sat Nov  7 11:44:25 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Uh..... - Sat Nov  7 11:45:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Maybe... I should just.....go back to what I was doing. - Sat Nov  7 11:45:16 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) siked herself up and then mosied over to sit down on the bench beside the trash can and tried her best to peer out of the corner of her eye at the wiggling blade. She wanted to see what that was all about, course she knew this was dangerous. It wasn't like Lera wasn't known after all... Anyone of real power was known by name and certain features, features being that 'club' she had on her.* - Sat Nov  7 11:47:50 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) slowly craned her head and then gulped down looking from the blade up to Lera's face. "U-uhhh....." she blinked several times with widening dilated eyes. "Uhm..... thought.... you know.... I wanted to sit down...and the bench, er.... I thought the bench was bigger." She tried to scoot closer to the trashcan but hit the edge of the bench, wobbling slightly as she stared towards Lera with eyes that looked like they were some type of crazed raccoon with the facial make up she sported.* - Sat Nov  7 11:51:15 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) full on jumped nearly half a mile on the bench when she started giggling at her. The fact she referred to her blade as a he and then on top of that thought he might bite made her a bit more nervous despite Lera's attempt to console her. "Why would a ...club...bite me?" she was keeping her voice to a whisper as to not sound as crazed as the other girl to those passing buy in the meager crowds of traders and shinobi.* - Sat Nov  7 11:55:31 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) scrunched up her brow, "a blade? Like a sword? But it's....---HE is so fat." Again, whispering away as to not be seen as crazy like Lera was.* - Sat Nov  7 11:58:56 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) jerked back nearly slamming into the trashcan but barely missing it. "I-it fuckin' moved."* - Sat Nov  7 12:01:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Of course he did, He is alive you know. - Sat Nov  7 12:01:29 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: But...how is that possible? - Sat Nov  7 12:02:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: *Shrug* - Sat Nov  7 12:02:20 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Between me and you, he's quite a special blade. There are only a few others like him, though he's the only living blade. - Sat Nov  7 12:03:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Oh....I... I don't really know a whole lot about swords. - Sat Nov  7 12:03:12 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Mhmmmm. Thats fine. - Sat Nov  7 12:03:12 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) stared at the binded spikey blade.* - Sat Nov  7 12:03:12 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: But yeah. Really don't touch him, he might take a little more from you than you'd like. He's taking chakra from me even now. - Sat Nov  7 12:04:03 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: If he bites, why doesn't he eat yo--e-erg.. - Sat Nov  7 12:04:03 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Well, he doesn't eat people. He eats chakra. - Sat Nov  7 12:04:54 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: ...Isn't that... sort of the same thing? Chakra is part of us. - Sat Nov  7 12:05:45 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I suppose, you can look at it that way. - Sat Nov  7 12:06:36 2015
<br><br><font color=teal>*Ken(Benbonds) says: . . . - Sat Nov  7 12:06:36 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) tried to stop staring at the blade, but some part of her was wary that if she looked away it might try to get a nibble of her. Peeking up to the female she examined her for a moment before glancing out towards the other people in the square.* - Sat Nov  7 12:08:19 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: You sound different. - Sat Nov  7 12:08:19 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I sound different? How so? - Sat Nov  7 12:08:19 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: You aren't from this region are you? - Sat Nov  7 12:08:19 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Oh no. I'm from Kirigakure. - Sat Nov  7 12:09:10 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Oh, the wet place. - Sat Nov  7 12:09:10 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Pfft, yeah. The 'wet place' - Sat Nov  7 12:09:10 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) groaned lightly, "I... sorry that was rude. I meant... That sounds like a nice place to grow up."* - Sat Nov  7 12:10:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Its fine. I'm more of a wanderer now. - Sat Nov  7 12:10:01 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: You don't --if you don't mind me asking, don't like your home anymore? - Sat Nov  7 12:11:44 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Its not that no. I still send money and help out when I can., - Sat Nov  7 12:11:44 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: But theres only two things I have left that I care for. Both are here. - Sat Nov  7 12:12:35 2015
<br><br><font color=yellow>*Nakano, Kiyoko(HypnoticEssence) thought on this and nodded before leaning forward slightly to lean her elbows on her lower thighs and brought her hands together in a clasp. Her hair fell over her shoulder and rustled in the breeze lightly from the stale winds of the arid lands. "People?"* - Sat Nov  7 12:14:17 2015
