<br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Are you a sex slave? - Thu Oct  1 02:47:15 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: brutal - Thu Oct  1 02:48:06 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: If he wants me to, I can't realy say "no" - Thu Oct  1 02:49:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Mmm.. - Thu Oct  1 02:56:38 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Well I might as well keep up my training while I'm here. - Thu Oct  1 02:56:38 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Marissa, would you kindly move over? - Thu Oct  1 02:57:29 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Hmm? Sure? - Thu Oct  1 03:01:45 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: it looked good to me. . Maybe you could train me to fight hand to hand one day - Thu Oct  1 03:15:24 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Probably not, I suck at hand to hand. - Thu Oct  1 03:16:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Not get money? - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Big guy. - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: You want money? - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Dunno. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is weird,. .  - Thu Oct  1 03:23:56 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <*Blinks*> - Thu Oct  1 03:27:21 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Hmmm? - Thu Oct  1 04:30:30 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Hello - Thu Oct  1 18:42:08 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Hello - Thu Oct  1 18:47:15 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm? - Thu Oct  1 18:49:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hi... - Thu Oct  1 18:49:48 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You have alot of saving to look forward too. - Thu Oct  1 20:35:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 20:37:20 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Mhmm. .  - Thu Oct  1 20:38:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why is everyone just standing outside..? - Thu Oct  1 20:39:53 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Because we're discussing oatmeal recipes. - Thu Oct  1 20:40:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  1 20:41:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: ...More Doujutsu talk... - Thu Oct  1 20:48:25 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Soon enough we'll hunt down the remaining. Allowing them to progress any further would make it nothing less than a hassle. We'll start with 'you know who' and slowly progress to the ones in Kirigakure. - Thu Oct  1 20:49:16 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: No. Not yet. - Thu Oct  1 20:52:41 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Anyway. .  - Thu Oct  1 20:53:32 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Suitengu. . Wanna escort a Blacksmith to Kumo with me? - Thu Oct  1 20:53:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: No. - Thu Oct  1 20:54:24 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Alright. .  - Thu Oct  1 20:54:24 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Suitengu. .Wanna fight again? I wont give up as easily this time. .  - Thu Oct  1 21:14:52 2015
