<br><font color=teal>*Hanae(Ej900) says: This shell is nothing to me now. - Mon Nov  9 13:04:38 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Sorry for all the questions. - Mon Nov  9 13:05:29 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: That was rude. - Mon Nov  9 13:05:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: It's fine. - Mon Nov  9 13:05:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. . ? Tch. I'll get you a newer pair later. - Mon Nov  9 13:05:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: Good. - Mon Nov  9 13:05:29 2015
<br><br><font color=teal>*Hanae(Ej900) says: Any how off to create a new jutsu. - Mon Nov  9 13:06:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: -Create? - Mon Nov  9 13:08:54 2015
<br><br><font color=teal>*Hanae(Ej900) says: Yup. - Mon Nov  9 13:08:54 2015
<br><br><font color=teal>*Hanae(Ej900) says: Gotta do something with all this free time on my hands. - Mon Nov  9 13:09:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? You were acting like you had a new one already made. - Mon Nov  9 13:09:45 2015
<br><br><font color=teal>*Hanae(Ej900) says: It's not really all tha tnew. - Mon Nov  9 13:10:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Especially you @_@ - Mon Nov  9 13:10:36 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Pervert old man. - Mon Nov  9 17:30:52 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) knocked on the door.* - Mon Nov  9 17:31:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: NOTICE ME ZENAKI KUN!!! - Mon Nov  9 17:32:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: -omit- - Mon Nov  9 17:32:35 2015
