<br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: wiat if koji is gramps left hand and sesuki is his right which one has to scratch his balls. - Tue Oct  6 01:33:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. . . - Tue Oct  6 01:34:17 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) Slowly standing to his feet he would walk over to Katsune, once beside her he would straight forwardly ask, "Is this seat taken?" obviouly trying to tease a tad bit. "It's true I'd probably fail horribly, but I guess it won't hurt to try." as if to prove otherwise, his head would get a sharp pain, it was if the universe was telling him he was fucked or something.* - Tue Oct  6 01:36:51 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Might hurt. - Tue Oct  6 01:41:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You can sit though. - Tue Oct  6 01:41:58 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Guess his head injury means I can't punch him in the nuts with my gauntler-clad hand, can I? - Tue Oct  6 01:42:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait you know earth justu which ones which one! - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. None, I do have scrolls, though. - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: AH.....Which one which one! - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I haven't learned any cause elemental techniques are hard. - Tue Oct  6 01:44:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Basic shit. Mud Silhouette, Hiding Like a Mole. - Tue Oct  6 01:44:32 2015
<br><br><font color=yellow>*Kang Tetsu(Chaos Commander2015) a very faint chuckle coming to his mouth, he would slowly sit, one leg straight ahead of him, and another bent so he could rest his arm on it, he would tilt his head and lean it on his own arm that was resting on his leg. , "This is a five star seating area that you have here." having said such he would simply look to her, curious of how to go about this whole thing.* - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Haha, I ain't really an earth guru. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm pretty shit when it comes to elemental stuff. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmm....Thats not a good thing. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was, until people started telling cheesey jokes. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How so? - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Tue Oct  6 01:46:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I mean, Iget elemental techniques are important. But they aren't the end-all. Y'know? - Tue Oct  6 01:46:14 2015
