<br><font color=teal>*Thaenan(Chaos Commander2015) says: You're joking right? - Fri Nov  6 01:50:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I don't joke when it comes to business. - Fri Nov  6 01:51:47 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) for the first time ever started laughing.* - Fri Nov  6 01:51:47 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I told you I'd only take that position when I was ready. - Fri Nov  6 01:51:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're ready now. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Lets go. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Ortho. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm not going to lead a village when I can't even defend myself. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Speaking of. - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Will you two excuse me? - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I wish to speak with my sister dearest alone. - Fri Nov  6 01:55:12 2015
<br><br><font color=yellow>*Ume(TenaciousRiven) walked South.* - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I assume we'll finish this conversation afterwards? - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. - Fri Nov  6 01:56:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Care to explain what Ortho has in mind for me? - Fri Nov  6 01:56:54 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I don't know, but I think you should do it. He knows what is best for you. - Fri Nov  6 01:56:54 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: And it's what you want. - Fri Nov  6 01:56:54 2015
