<br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: ........... - Wed Oct  7 03:46:59 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) wondered why the fuck Hideki stared him down, but he'd remain quiet analyzing the group.* - Wed Oct  7 03:47:50 2015
<br><br><font color=yellow>*Tetsumi Jiki(Bloodline Killer X) senpai will not notice you* - Wed Oct  7 03:47:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm.. - Wed Oct  7 03:48:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hello. - Wed Oct  7 03:48:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Wed Oct  7 03:48:41 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Right.. - Wed Oct  7 03:48:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Oct  7 03:48:41 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anyone want to play some dice? - Wed Oct  7 03:48:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Dice? - Wed Oct  7 03:49:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Wed Oct  7 03:49:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's a simple game. - Wed Oct  7 03:49:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Uh-Huh.. Explain. - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come here. And I'll explain. - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No offense but i'll refuse. - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't trust me? - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Nope. - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ow.. - Wed Oct  7 03:50:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Don't quite know you. - Wed Oct  7 03:51:15 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Wed Oct  7 03:51:15 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Why so quiet? - Wed Oct  7 03:51:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. This place is always quiet, I guess its somethin' in the air. - Wed Oct  7 03:52:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Its depressing at times. - Wed Oct  7 03:52:06 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Welp. - Wed Oct  7 03:54:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What are you guys here for? - Wed Oct  7 03:54:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Suitengu went to talk with Fujitora. - Wed Oct  7 03:55:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So we're stuck here until he comes back. - Wed Oct  7 03:55:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 03:56:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh. - Wed Oct  7 03:56:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: That idiots probably in danger. - Wed Oct  7 03:59:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, Kirie. Where ya been? - Wed Oct  7 04:03:12 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Around. - Wed Oct  7 04:04:54 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How have you been? - Wed Oct  7 04:04:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Chilling. - Wed Oct  7 04:05:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What made ya go M.I.A? - Wed Oct  7 04:06:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Wed Oct  7 04:07:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wasnt let into the village by Hassan. - Wed Oct  7 04:07:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So I went to Kumogakure. - Wed Oct  7 04:07:28 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. Do you know where they went? - Wed Oct  7 04:08:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh what? - Wed Oct  7 04:08:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's weird. - Wed Oct  7 04:09:10 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I recommend you take your arm off of me - Wed Oct  7 04:10:52 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Slice it off, do it. - Wed Oct  7 04:11:44 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Do ittt!!!! - Wed Oct  7 04:11:44 2015
