<br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) thinks: Relationship problems? - Thu Nov  5 05:55:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, look whos alive and well - Thu Nov  5 05:56:16 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: ---- - Thu Nov  5 05:56:16 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: You stole my shit. - Thu Nov  5 05:56:16 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) inspected the entirety of the army as it stood before him. He adorned different garbs than his normal jounin vest, as he intended to set his position apart from the rest for commanding reasonons. As he turned, he gestured toward the other commanding officers to send their own signals to the troops they had dominion over. With that, they moved.

The army of two-thousand Sand Ninja trudged through the desert before them. Their very presence could be heard for some distance, as they clanked with their weapons and armors, and periodic voices which resonated as multitudes of them sounded. Yan would be at the front, positioned in the middle, where his lead would be followed.

Furthermore, scouts were sent out ahead in order to ensure that nothing was awaiting them in the distance. They would send constant reports and lines of communication reporting that everything was either clear or there was an obstruction and/or something that Yan needed to tend to. That being said, the would march on unless reports dictated they should do otherwise.* - Thu Nov  5 06:12:28 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) yawned slightly to himself, breathe captured by an intercepting hand which cupped over his thin lips which parted slightly. A scout came from the one of the section of men, reporting that they had encountered some man-sized scorpians and that they had been put down with no casualties. It was to be expected. Most of the desert was desolate, devoid of human life and it wasn't often that a group of this magnitude would be traveling through this area. It was natural that the beasts of the desert would become territorial. The ninja were trained for such.

With that being said, Yan dismissed the scout and it returned to its post and the march continued on. In the distance, he could see the reserve of water which would ultimately lead into the boundary that separated The Land of Wind and The Land of Fire. They would replenish their reserves of water and rest before continuing on at that point.* - Thu Nov  5 06:15:53 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) finally arrived to the source of water which was known to be the very beginning of The Land of Fire, or rather, the very end of The Land of Wind. Either way, it was a resting point for all shinobi passing from to and fro as the journey from The Village Hidden in the Sands or toward it required a certain level of stamina that would only be required from resting up. Of course, people were known to make the stretch without stop though it wasn't really recommended. Yan would sit nearby the water source as commanders came to him.* - Thu Nov  5 06:27:50 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would listen as the commanders gave their reports, both oral and written ones. While he listened to one commander speak, he would be reading another report. Some were ailments, some were regarding rogue ninja. There were many reports that related to the creatures of the land creating issues. Yan would please them all by giving them what they wanted, sending medical ninja to help those who were hurt or suffering from exhaustion or dehydration. He would send hunter nin for the rogue ninja who broke away from their formation and attempted to flee from duty.* - Thu Nov  5 06:31:15 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) was handed a form. The form indicated food distribution throughout the entirety of the army. Yan read over it briefly before he signed off on it, handing it back to the man whereupon he spun around and headed off. Within the next hour or so, the food would be dstributed and consumed at which point the final appropriations would be made so that they could prepare to set off again towards Kumogakure no Sato. Yan found himself at the head of the army again, in the middle, signaling that they were to move. As he took a few steps forward, he could hear the sea of shuffling feet as they moved upon his whim behind him. It was pretty crazy, or at least, in his mind.* - Thu Nov  5 17:51:21 2015
