<br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Nov  6 08:22:36 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) steps the fuck inside, hopefully trilliam didnt blow her up too, * - Fri Nov  6 08:26:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I've done my duty...And I have delivered him to the pure world.. - Fri Nov  6 08:26:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Nov  6 08:26:52 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) attempts to step foot inside * - Fri Nov  6 08:29:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .. - Fri Nov  6 08:29:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I assume everything is okay now? - Fri Nov  6 08:29:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: When people like him live for the sake of taking lives.. - Fri Nov  6 08:35:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You've lost such a right...How'd you feel? - Fri Nov  6 08:35:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: If someone you loved lost their kin because of scum being paid to kill? - Fri Nov  6 08:35:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A short life ended.. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This is poetic justice.. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No, it's a chain of hate. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Heh...He knew of his end. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He knew the risk of coming here. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We can not protect the world.. - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I've elarned such the hard way. - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I was taught the life cycle growing up.  - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Look hea SImba.. - Fri Nov  6 08:37:07 2015
