<br><font color=teal>*Yuriko(TenaciousRiven) says: but i - Wed Dec  2 02:30:11 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I just got lucky that time. That's all. - Wed Dec  2 06:08:38 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Training. - Wed Dec  2 06:16:19 2015
<br><br><font color=yellow>*Iwatobi(Anonymouse Niggah) then gets on the floor standing up on his hands and knees with his hands underneath his shoulders but slightly wider than his shoulders. Come onto the tip of his toes and the heels of his hands, and then walks his feet back until his body is in the plank position. Keeping his hips lifted to avoid the lower back from forming a bowl. He then begins to bend his elbows, lowering his whole body down towards the floor. His elbows will bended out to his sides. His would head stay in line with his spinal cord. Lowering himself down until his chest is about an inch or two from the ground and then slowly push himself back up to the starting position. Repeating this about five times, trying to not strain himself anymore then he needs to.* - Wed Dec  2 21:06:20 2015
<br><br><font color=teal>*Iwatobi(Anonymouse Niggah) says: . - Wed Dec  2 21:07:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I wonder if Heiwa heard about it. . .he'd probably try to kill me. I believe he liked that particular Mizu. - Thu Dec  3 05:59:40 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Well. . .I won't bother you any further. I'm sure you were enjoying you book. Plus the pup seems to be enjoying his rest. - Thu Dec  3 06:01:23 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Such a nice person. . .been a while since I've met someone like her. - Thu Dec  3 06:01:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: O-oh. - Thu Dec  3 06:01:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Okay, uh.. Abraxas right? - Thu Dec  3 06:01:23 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Mhm~ - Thu Dec  3 06:01:23 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I'll remember that, thank you for the gift! - Thu Dec  3 06:01:23 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. Seeya around kid. Enjoy the the book, the gift, life and what not while you can. It all ends when you least expect. - Thu Dec  3 06:09:04 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: That was grim... - Thu Dec  3 06:09:55 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Heh..yeah... see ya. - Thu Dec  3 06:12:28 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Weird. - Thu Dec  3 06:12:28 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: ..... - Fri Dec  4 00:05:58 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) whispers: I. Will. End. Yo. Career) - Fri Dec  4 00:11:56 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Huh? - Sat Dec  5 00:22:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We have a mission, remember? - Sat Dec  5 00:26:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're going to escort someone to Kumo. - Sat Dec  5 00:26:01 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Oh, right. - Sat Dec  5 00:30:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Okay. - Sat Dec  5 00:30:17 2015
<br><br><font color=yellow>*Iwatobi(Anonymouse Niggah) isn't here yet.* - Sat Dec  5 00:46:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Oh yeah suuuuuuuuuuuuuuuure, just stand there and look cute Yori-kun! - Sat Dec  5 01:16:22 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: I just came here to have a good time. - Sat Dec  5 01:18:04 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: And honestly. - Sat Dec  5 01:18:04 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: I feel so attacked right now. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: These people didn't even say hi. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: Demanding pricks. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Thirteen(Jjking217) thinks: Roses are Red. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Thirteen(Jjking217) thinks: Violets are Blue. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Thirteen(Jjking217) thinks: I wonder what these people will look like when dead. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: We've gotta do something. - Sat Dec  5 01:24:03 2015
<br><br><font color=yellow>*Iwatobi(Anonymouse Niggah) slithered on up ontop of the building. Trying to gain a vantage point on these coons that were in his village. Keeping on all fours as he looks for an opportunity to jump onto one of unsuspecting intruders.* - Sat Dec  5 01:28:19 2015
<br><br><font color=yellow>*Iwatobi(Anonymouse Niggah) saw his chance to engage on one of the unsuspecting intruders. The person who had backed up towards the building he was on was really an unlucky guy. Iwatobi had a large grin on his face as he shows his jagged teeth. His skin then started to get turn greenish and scaley, while his mouth grew further out. His hands nails grew longer and his and his pupil split, and out from his tail bone sprouded a scaley tail. 

Then with a his grip tighting onto the roof of the building, Iwatobi launched himself at Yori with his mouth abnormaly wide  and all 80 of his teeth showing. If Yori allowed himself to get within his graps, Iwatobi would aim to bite down onto Yori's right shoulder and dig right into his skin and muscle. As well as taking his right hand and slamming it onto his face as he tried to grip onto it with his big scaley palms. All while his left hand grabbed onto the arm that he was biting onto. Aiming to bring him down onto the ground as he trys and tear meat from Yori's shoulders.* - Sat Dec  5 02:03:18 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: so iwatobi's attack and anguo - Sat Dec  5 02:18:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: eh like probably 10 tiles would be enogh to claim you were like out of our range of knowing you were here - Sat Dec  5 02:45:58 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Fuck that nigga Rich, you see that Dragon fam? - Sat Dec  5 03:03:02 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: no\ - Sat Dec  5 03:23:31 2015
<br><br><font color=yellow>*Iwatobi(Anonymouse Niggah) can be seen in a blind rage beating agaisnt the spore blob.* - Sat Dec  5 03:28:38 2015
<br><br><font color=yellow>*Iwatobi(Anonymouse Niggah) swims through the water that the Water dragon produced and loots Thirteen's body.* - Sat Dec  5 03:42:17 2015
<br><br><font color=teal>*Kestrel(S3an) says: I am a Ninja! - Sat Dec  5 19:55:56 2015
<br><br><font color=teal>*Kiri Caravan(S3an) says: Ninja...I am a ninja.. - Sat Dec  5 19:55:56 2015
<br><br><font color=teal>*Iwatobi(S3an) says:  Who is this copy of me? - Sat Dec  5 20:12:09 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: ...I'll take that as a no. I'll be off then. - Sat Dec  5 21:03:21 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Hello everyone. - Sat Dec  5 21:11:02 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Hey. - Sat Dec  5 21:14:27 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: We just got all of the bodies and damage out of the market. - Sat Dec  5 21:14:27 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: That's good I suppose. - Sat Dec  5 21:15:18 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: What're you up to? - Sat Dec  5 21:15:18 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I was going to train but the red-head from your squad is in my way. - Sat Dec  5 21:16:09 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: ..Nori? What do you mean? - Sat Dec  5 21:17:00 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: She's right in the way of the training device I made. - Sat Dec  5 21:17:00 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: The one you were working on earlier? - Sat Dec  5 21:20:25 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Huh? Uh yeah I guess. - Sat Dec  5 21:23:50 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I think she's asleep like right next to it so if I start training, it's probably going to hit her. - Sat Dec  5 21:24:41 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: I see - so either you need a new spot or you need another method of training for now. - Sat Dec  5 21:26:24 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Yep...and I can't get a new spot because if I move that contraption it might fall on and crush her. - Sat Dec  5 21:27:15 2015
<br><br><font color=teal>*Heiwa(Wantpark) thinks: Could always just get new materials.. - Sat Dec  5 21:31:31 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Then how about a spar? You and Sekitsui? - Sat Dec  5 21:32:22 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Then how about sparring someone? - Sat Dec  5 21:33:13 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: And why not? - Sat Dec  5 21:39:12 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: You choose not to work with others which makes them not like you. - Sat Dec  5 21:43:28 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: The question was why do you choose not to work with others? - Sat Dec  5 21:44:19 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Because I don't work well with people. - Sat Dec  5 21:44:19 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And because I generally don't like people. - Sat Dec  5 21:45:10 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: And why's that? - Sat Dec  5 21:46:52 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Because of how people act. - Sat Dec  5 21:48:35 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: They eventually make you weak and drag you down. - Sat Dec  5 21:48:35 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: What's your goal as a shinobi? Why do you train? - Sat Dec  5 21:51:08 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: To become strong. - Sat Dec  5 21:52:00 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And be a good soldier. - Sat Dec  5 21:52:00 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Why? - Sat Dec  5 21:52:51 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Why do you want to become a soldier? - Sat Dec  5 21:53:42 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Why are you asking me these questions? - Sat Dec  5 21:53:42 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Because I'm curious. If you don't like people why would you become a protector of the village? - Sat Dec  5 21:56:16 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Just because I don't like them doesn't mean I want them to die. - Sat Dec  5 21:56:16 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And besides, I don't hate everyone. - Sat Dec  5 22:01:23 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Who do you not hate then? - Sat Dec  5 22:01:23 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: You, Anguo, Sekisui. - Sat Dec  5 22:02:14 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Why the exceptions? - Sat Dec  5 22:03:05 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Because you're not an idiot. - Sat Dec  5 22:03:56 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Anguo is both strong and intelligent. - Sat Dec  5 22:03:56 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: And Sekisui has a dog. - Sat Dec  5 22:04:48 2015
