<br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can read and write. - Sat Dec  5 20:53:58 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't see why I am going, I already graduated at the academy. - Sat Dec  5 20:54:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Academy is ninja studies. - Sat Dec  5 20:54:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Illiterate, you mean? - Sat Dec  5 20:56:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Haaaa. - Sat Dec  5 20:57:23 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Best name for a slam. - Sat Dec  5 20:58:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Sanoke, is there any paperwork I can get filled out and reviewed for a possible promotion? - Sat Dec  5 20:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. Write on these nutz. - Sat Dec  5 20:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Maybe. - Sat Dec  5 20:59:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Sat Dec  5 21:00:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: S'up? - Sat Dec  5 21:00:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, Yo. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hanai, Momura. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke wanted you. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I know. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm going to f-fight kinami..f-for chuunins.. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm something going on? - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ohhhh. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, there you go. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Would you two prefer to fight in private? - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I don't care...I-I won't be holding back.. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To save potential ace-manuevers from  being in the public eye, obviously. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Private would be nice. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit. . I wanted to watch. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Can we just invite people? - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'd suppose. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai and kuro..and..uhm..M-Mitsunara..and H-Hideo.. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Sure is a lot of people, jeez. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Well damn she got an entire list. .  - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll let you all two one each. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: .. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hanai and Kuro. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hiroshi can be mine. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Actually, her list is fine. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, alright. - Sun Dec  6 03:22:14 2015
