<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right? - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Jeez. - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean Sado-san and I were having a great talk and fun before he asked me how old I was. - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Kida.... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: How did you not... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nevermind. - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You guys can talk about sex later. Whoever she's going to be having it with. It won't be me. - Sat Nov 28 04:43:18 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: It'll be Ichiro. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Clearly. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I approve incest, don't worry. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yep....Clearly.. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I don't. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If that's what you're into. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Question, Ichiri. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: If I ordered you to fuck your sister. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Would you do it? - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ................................. - Sat Nov 28 04:44:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Tonguetied. - Sat Nov 28 04:45:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I wonder if Makoto is screaming to be released.. - Sat Nov 28 04:45:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: I'm about to quit my job... - Sat Nov 28 04:45:00 2015
