<br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -- - Sat Nov 28 00:28:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe this'll be the best lesson.. - Sat Nov 28 00:29:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Not to play with the matters you know nothing of. - Sat Nov 28 00:29:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Too easy. - Sat Nov 28 00:29:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Please leave? I need to do this myself. - Sat Nov 28 00:30:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I- - Sat Nov 28 00:30:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Nov 28 00:30:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He doesn't want you around anymore... - Sat Nov 28 00:30:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You've already done your damage...now I have to try and fix it. - Sat Nov 28 00:30:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Nov 28 00:30:43 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I've ruined another person's chances. . .I'm a heathen. . .and I'm banned from most villages. - Sat Nov 28 00:30:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What type of priest would I be if I didn't try to fix this.. - Sat Nov 28 00:31:34 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -- - Sat Nov 28 00:31:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: The taste of despair..~ - Sat Nov 28 00:31:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I missed it so much... - Sat Nov 28 00:31:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh..if I do help her.. - Sat Nov 28 00:32:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You'd owe me. - Sat Nov 28 00:32:25 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: That's fine. - Sat Nov 28 00:32:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is it? - Sat Nov 28 00:32:25 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: It is. . . - Sat Nov 28 00:32:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Circles and circles, more circles. - Sat Nov 28 00:32:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's say if you denied me what I'd owe.. - Sat Nov 28 00:33:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I won't. - Sat Nov 28 00:33:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Great! - Sat Nov 28 00:33:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Girl, it seems as if I can help you once more. - Sat Nov 28 00:33:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course we still haven't worked out a proper deal. - Sat Nov 28 00:33:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: P-..pfft..~ - Sat Nov 28 00:34:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Nov 28 00:34:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: He doesn't even know..~ - Sat Nov 28 00:34:08 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: H-Hey. . . - Sat Nov 28 00:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So, girl..-- - Sat Nov 28 00:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Nov 28 00:34:59 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I-I said I'd owe you if you helped her. . .she doesn't need to work out a deal. . - Sat Nov 28 00:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What? - Sat Nov 28 00:37:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Sat Nov 28 00:37:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This offer is for you to redeem yourself. - Sat Nov 28 00:37:32 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Nov 28 00:37:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You stopped me from helping her. Now that I'm helping her once more.. - Sat Nov 28 00:37:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We need to form a deal. - Sat Nov 28 00:37:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're the reason as to why she's in this mess. - Sat Nov 28 00:37:32 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -- - Sat Nov 28 00:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Resist the urge to send the dragon through his body. . . - Sat Nov 28 00:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I owe these people now. - Sat Nov 28 00:38:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course.. - Sat Nov 28 00:38:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you don't like that. You can walk away. - Sat Nov 28 00:38:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's a way out.~ - Sat Nov 28 00:38:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Just. . .help her. - Sat Nov 28 00:39:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Is it time for us to strike our deal since you denied my first offer? - Sat Nov 28 00:41:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm. - Sat Nov 28 00:42:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can see that you hate this heathen. - Sat Nov 28 00:43:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Please don't end up like him. - Sat Nov 28 00:43:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -- - Sat Nov 28 00:43:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I- - Sat Nov 28 00:43:31 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: You said I would redeem myself from being one. . . - Sat Nov 28 00:43:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh, did I? - Sat Nov 28 00:43:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fine. - Sat Nov 28 00:44:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't end up like what that guy was. - Sat Nov 28 00:44:22 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -- - Sat Nov 28 00:44:22 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Nov 28 00:45:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So we covered that you don't need money... you do want information but I don't have all that much information except about you and your followers. - Sat Nov 28 00:46:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mhm.. - Sat Nov 28 00:46:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I do have something I could show you that is special but I don't think just showing you something 'special' is enough for a payment. You want to see something special because then you can make it yours. - Sat Nov 28 00:47:47 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: I'm unsure of what to do. . . - Sat Nov 28 00:48:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So I need to know what else you'd like. - Sat Nov 28 00:49:29 2015
