<br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: -like- - Fri Oct  2 08:23:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sakura, sai-Er Bryson and Zanaki. - Fri Oct  2 08:47:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You to are gonna form the medic corps - Fri Oct  2 08:47:47 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll inform you more about it later. - Fri Oct  2 08:48:38 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: For now, I must rest - Fri Oct  2 08:48:38 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .... - Fri Oct  2 08:49:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Team work. Sure.. Somehow we'll work it out.  - Fri Oct  2 08:50:20 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Medical Corps? Well looks like we will be make a change for the better  - Fri Oct  2 08:50:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I figured you'd of said such father. - Fri Oct  2 08:50:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm.. More of a lonely worker for my own experiments, though...  - Fri Oct  2 08:52:03 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Well looks like we need to spend some time together... get to know each other. We will be working side by side now - Fri Oct  2 08:52:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Fri Oct  2 08:52:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I doubt we will work well together. - Fri Oct  2 08:52:54 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: What ever you need help in just let be know, I graduated top of my class so im pretty smart - Fri Oct  2 08:53:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't need a smartass like you for my own experiments. - Fri Oct  2 08:54:36 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Easy sister... Im only here to help and provide support. Im sure we can help each other out without  causing each other trouble. We we maybe from opposite sides of life but we became medics for some reason - Fri Oct  2 08:57:10 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I became medic because I couldn't fight. - Fri Oct  2 08:57:10 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I was -forced- to become a medic. - Fri Oct  2 08:58:01 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Or whatever.  - Fri Oct  2 08:58:01 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I couldn't do anything else. - Fri Oct  2 08:58:01 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Well do you enjoy the live of a medic - Fri Oct  2 08:58:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Meh. Not really. I enjoy the part where you can experiment on people. To see how much pain they can get untill they die. - Fri Oct  2 08:58:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: ... - Fri Oct  2 09:00:35 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: That very...She's herself again...Wait...Was she like this when?----.. - Fri Oct  2 09:00:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You know. Just to test durability of people. - Fri Oct  2 09:01:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Angel trying to convince the sister of the Devil...Oh this...Will not be a friendly talk.. - Fri Oct  2 09:01:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And such. - Fri Oct  2 09:01:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You know. ripping teeth out one by one, breaking bones one by one. The pleasurable hearing of the bones cracking and guys screaming in pain. - Fri Oct  2 09:02:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ah.. I just love that. - Fri Oct  2 09:02:17 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: See how long it takes if you let them pull their own hair out one by one. - Fri Oct  2 09:03:08 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Thats very... dark but the lord forgives and so do I... I resolve  you if all your sins. Now we can work on beinf the best medical team of Sunagakure; you with your experiments and me with my miracles - Fri Oct  2 09:06:33 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't need that ''Lord'' Or you to forgive me. I love what I've done. - Fri Oct  2 09:07:24 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looking at the two of them from his very own distance, Fujitora kept his mind on the very training he was looking to polish before he could talk..But what he was hearing..He sorta enjoyed seeing the two , Angel and Devil talk..To see which would give into the other nature first, would kindess fall to darkness or would darkness fall to kindness? The world will have to find out as he'd try to discover which had the most influence.. He thought about it for a moment <Zenaki has always been like this...I'm not forcing her to speak in any way...But who'd think..She'd meet her EXACT opposite here today..> he ponders as sparks of flame surround him for his training of the elements .* - Fri Oct  2 09:10:49 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: With you accept it or not I will after be here with open arms... now im curious about the surguries you preformed - Fri Oct  2 09:10:49 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) simply continues to train and work on the abilities of this fire jutsu, thinking to himself about the times he and Ushinawa trained together, so he trained as if his older brother was by his side , the flames being sparked , thinking of when he and Ushinawa were younger, when they were at the festival with one another, playing around with their clan relatives.. Fujitora was happy by this, the man continued to train, striving to become the very continued story of the Uchiha that Ushinawa KNEW he could be trusted with, what Fujitora himself believed in that he would be able to fulfill such an honor and pass on this role to his descendants and his other worthy relatives, for the clan to be one, to be strong in the land of Sunagakure <Even without those eyes..I will be the beacon of this clan..This land..And my people!> the flames enhanced by Fujitoras own will and compassion..

<I am Fujitora ..The Sunblade..>* - Fri Oct  2 09:18:30 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) having used clones to help him out on the training to gain better experience from such, he looked to be completing all other task for such, he thought about how strong Ushinawa had became and how he was going to have to try and surpass that for his own and the good of those dear to him..He looked over to Zenaki, seeing that she was still talking to Bryson, and FUjitora believed that this was going to be an endless talk of one going against the others beliefs and one just accepting it with the power of a holy book..Son he stood by for a while to see just how exactly it' would end. <He's persistent..>* - Fri Oct  2 09:22:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Sure... - Fri Oct  2 09:23:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: May the devil hunt you in your sleep and whatever you are going to do. - Fri Oct  2 09:24:28 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) watching the two as he trained with the abilities he had going on with his end of the town. Fujitora thought to himself <Ushi..I hope you're watching as I progress...I'll lead the people of our clan soon enough and I will be their new beacon..> he opened those narrow eyes of his only to see that Zenaki had came to stand by him for the time being.. He wondered what she thought about the people in town that she'd be working with..They were just friends now..Fujitora simply continued to focus on his training, aiming high to bring out such high skill upon these abilities once fully trained to be their at most best under his control.* - Fri Oct  2 09:27:02 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: EH..... - Fri Oct  2 15:24:35 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Why.... - Fri Oct  2 15:24:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Fri Oct  2 15:24:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Master.. - Fri Oct  2 15:24:35 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) looking tired and very sleep depraved.* - Fri Oct  2 15:25:26 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) could of just fell over ant any given moment so he just stood at the side lines from central to watch everyone else..* - Fri Oct  2 15:28:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh, good morning Zen and everyone else.. - Fri Oct  2 15:31:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Goodmorning, Master. - Fri Oct  2 15:33:07 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: Fuji... why does she call you master? - Fri Oct  2 15:33:58 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) was way too tired to really respond "She has her own names-words-yada--Can we not...Ask so many questions.." he couldn't be within the serious mood he normally was in..Being sleep depraved, all he could really do was stare off at shit.."That tree looks nice.." * - Fri Oct  2 15:35:40 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) says: I see well sorry to bother you... - Fri Oct  2 15:37:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Zen, hows the medical research? - Fri Oct  2 15:45:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I take it you've been spreading your wings eh? - Fri Oct  2 15:45:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Alright hm. - Fri Oct  2 15:45:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Do you have somehwere a prison where i can get some bandits for the experiments? - Fri Oct  2 15:45:55 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh... I don't know. - Fri Oct  2 15:45:55 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.......Hmmmmm......Prison.... - Fri Oct  2 15:46:46 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) long slow ponder...* - Fri Oct  2 15:46:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh right.. - Fri Oct  2 15:46:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You are my Master and will stay my Master. I will do anything you'll say. You know that.  - Fri Oct  2 15:46:46 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: I'll kill that wife of him so I can be with him again.  - Fri Oct  2 15:47:37 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ....I thought we talked this over..We can only be friends and co-workers..But the lab is within the hospital I'd think.. - Fri Oct  2 15:48:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: We did we did. I know I know.. But then still.. - Fri Oct  2 15:48:28 2015
<br><br><font color=teal>*Lyan, Bryson (Ninjagangster90210) thinks: I most odd relationship... but its none of my concern. - Fri Oct  2 15:49:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll help in making y' a lab then, or finding one..Your research is vital.. - Fri Oct  2 15:50:11 2015
