<br><font color=teal>*Trent(Fang7777) says: Hi. - Fri Nov  6 17:38:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good evening... - Fri Nov  6 17:38:59 2015
<br><br><font color=teal>*Trent(Fang7777) says: So many new faces. - Fri Nov  6 17:38:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: You could say that... - Fri Nov  6 17:39:50 2015
<br><br><font color=teal>*Trent(Fang7777) says: My name is Trent, I'm a black smith nice to meat you miss. - Fri Nov  6 17:39:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera and you I suppose. - Fri Nov  6 17:39:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hey father. - Fri Nov  6 17:42:24 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Hey. - Fri Nov  6 17:42:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: How are...things...? - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Trent(Fang7777) says: I guess I'll go craft up some armor tdoay. - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Trent(Fang7777) says: tody* - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Trent(Fang7777) says: today* - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Hectic. - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes I can imagine. - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Any work you need me to do? - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Nope. - Fri Nov  6 17:43:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: I thought as much. - Fri Nov  6 17:44:06 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I'm just here to smoke and get some fresh air. - Fri Nov  6 17:44:06 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: (Yeah but admins changed the rules about al that shit)) - Fri Nov  6 17:44:57 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (Oh. What are the new ones?) - Fri Nov  6 17:44:57 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: Gotta have Wind Armor to use any of them)) - Fri Nov  6 17:44:57 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (._. So i technically can't evne use hellstab) - Fri Nov  6 17:45:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: Or else u only know the taijutsu version)) - Fri Nov  6 17:45:48 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (Better teach me wind armour soon!) - Fri Nov  6 17:45:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: Yep its even listen under taijutsu now)) - Fri Nov  6 17:45:48 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (dayum) - Fri Nov  6 17:45:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: When are you going to teach me the next thing pops? - Fri Nov  6 17:47:31 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Hm? - Fri Nov  6 17:48:22 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You're better at Wind Release than I am at this point. - Fri Nov  6 17:48:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: I doubt that - Fri Nov  6 17:48:22 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Beleieve me. - Fri Nov  6 17:48:22 2015
<br><br><font color=teal>*Lera(Bailey42) says: The things you've taught me aren't really effective - Fri Nov  6 17:49:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Until you teach me the other thing though. - Fri Nov  6 17:49:13 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Then you arent using them correctly. - Fri Nov  6 17:49:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: So you won't teach me the armour portion? - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I mean I could but you wouldn't need it. - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Why not? - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You don't fight the same way as I do. - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: Actually... - Fri Nov  6 17:50:04 2015
<br><br><font color=teal>*Lera(Bailey42) says: I have a strategy, which requires the armour. - Fri Nov  6 17:50:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Only one? - Fri Nov  6 17:50:56 2015
<br><br><font color=yellow>*Trent(Fang7777) leans his body back letting hsi back rest against the base of the tree. His hands slide into his pockets and his head is titled back a little. He keeps a long piece of grass sticking out o fhis mouth, holding it in place with his lips. "I wonder what the others are up to. think I'll go see."He said. Letting his hands slide out of his pockets and then come together to make on hand seal. His chakra is preaded threough out his whole body slowly and in about a mintue he is was able to bend the light around him to allow him self appear out of sight.. 

"Nah, I can't walk around like this."He thought releasing the jutsu allowing for him self to appear back into sight. He looks around him all over to make sure he wasn't being watched.. "Okay to the training field."He thinks.* - Fri Nov  6 19:12:00 2015
<br><br><font color=teal>*Trent(Fang7777) thinks: Man theres people here already. - Fri Nov  6 19:23:05 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You called me here, and they're busy. - Fri Nov  6 20:45:52 2015
<br><br><font color=teal>*Trent(Fang7777) whispers: Such a heated spar. - Fri Nov  6 20:47:34 2015
<br><br><font color=yellow>*Trent(Fang7777) turns around and walks off moving past the people behind him.* - Fri Nov  6 20:48:25 2015
<br><br><font color=yellow>*Trent(Fang7777) Removes his back pack from his back and sets it on the ground. Opening the pack and reaching in removing his katar blades. He carefuly places them on and then stands up staring at the fist blade weapons. "Here goes nothing.'He thought as he turns around looking at a training dummy in the academy. He smirks a little and walks up to it and would start to lightly jab the dumy with his blades...

"I don't see the point in this"He thought to him self.* - Fri Nov  6 21:08:54 2015
<br><br><font color=yellow>*Trent(Fang7777) took a step back and brought his fists up to about chest level. He stares at the training dumy and would nod his head a little before he starts to punch at it letting his katar blades hit the dumy a little. e just kept doing this around the chest area of the dumy..

"I bet it hurts."he said.* - Fri Nov  6 21:37:04 2015
<br><br><font color=yellow>*Trent(Fang7777) pulls his fists back to his sides and lowers them a little then quickly brings them up letting katar blades slam into the training dumys chest. He then pulls his fists back but the blades were stuck. He sighs a little and trys a little harded but nothing. "...This isn't legit."He said before putting his right foot up placing it on dumt and pushes trying to free him self. "Come on..Come on"He said before he was quickly sent to the floor on his back..He huffs a little and looks up at the dumy he was freed but the fall still hurt.* - Fri Nov  6 21:58:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That doesn't explain a lot. - Fri Nov  6 22:00:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Even if he's undergroudn, he can tell if there''s a lot of activity going on. - Fri Nov  6 22:00:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: He should have known the battle hadceased. - Fri Nov  6 22:00:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hola all. - Fri Nov  6 22:01:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ai - Fri Nov  6 22:02:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Can you come with me please - Fri Nov  6 22:02:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The boys been with his teachers most of time more so than me, so his abilities have increased.  - Fri Nov  6 22:02:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: So, I was unaware he had the ability to sense people. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hiding like a Mole allows you to detect motion. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Underneath the ground. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yan can comfirm. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This is true. - Fri Nov  6 22:03:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke, what do you feel should happen? - Fri Nov  6 22:04:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Just to make sure I'm not imagining this wrong. The criminal -- that being the Dark Swordsman . .. was -DETAINED? - Fri Nov  6 22:04:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's when Kuro tried to protect him, and that's when Trilliam set off the explosions? - Fri Nov  6 22:04:22 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: Explosions... - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Inoue, Erin(Such a Yandere-chan) says: Nnnnnh... - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He said he snapped his fingers because he forgot something, unintentionally causing the clay figurines to explode. It's far-fetched..but. - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: We can all discuss future action with the young boy. Hassan isn't opposed to that, but the man is dead. - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone wanna hit this before I put it away? - Fri Nov  6 22:05:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't smoke. - Fri Nov  6 22:06:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And Koji. I don't mind that the mind is dead. He's a bad person. - Fri Nov  6 22:06:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I care moreso about Trilliam's actions. - Fri Nov  6 22:06:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke, why don't you take Koji into the kage's office to discuss this in private? - Fri Nov  6 22:06:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sure, why not. - Fri Nov  6 22:06:56 2015
<br><br><font color=teal>*Trent(Fang7777) says: ill partake. - Fri Nov  6 22:06:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Thanks. - Fri Nov  6 22:06:56 2015
<br><br><font color=yellow>*Trent(Fang7777) extends his right hand out a little openig it.

