<br><font color=teal>*Kinami Hassan(Ninasky115) says: Is that it, Ai? - Mon Dec  7 03:35:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You DIDN'T have to tell her that you held back. - Mon Dec  7 03:36:19 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You could have keep that under wrap. - Mon Dec  7 03:36:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I didn't tell her, she just knew. It's not my fault. - Mon Dec  7 03:36:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But after the chuunin exams, I told her that I -had- to to not kill her. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I can see why she has this self esteem problem. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: I didn't know that Kinami had become so ignorant and full of herself. I'm tempted to knock her out right now. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Okay, whatever. I did what I had to do to keep my former friend alive, so. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: She can be mad at me all she wants, and you can think whatever you'd like about me. - Mon Dec  7 03:37:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Uh huh. - Mon Dec  7 03:38:01 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm. - Mon Dec  7 03:38:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: She still doesn't understand uh. - Mon Dec  7 03:38:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Well, I guess I'll be training Momu soon. - Mon Dec  7 03:43:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Hm. - Mon Dec  7 03:43:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: I feel like Sensei. - Mon Dec  7 03:44:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Assisting too many at once. - Mon Dec  7 03:44:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Then don't assist anyone. - Mon Dec  7 03:47:24 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: For the village to grow, I'll assist them. This will happen me both ways since I'll have someone to test my plans on. - Mon Dec  7 03:49:58 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: This will be helping me*) - Mon Dec  7 03:49:58 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Mm. - Mon Dec  7 03:49:58 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Beside. - Mon Dec  7 03:50:49 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Want to have a baby after the wedding? - Mon Dec  7 03:51:40 2015
