<br><font color=yellow>*Katsune(Shimizu3598) looks over at him.

"I did?" she asks.

"Who?"* - Mon Oct  5 02:05:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: White haired girl, overly aggressive. - Mon Oct  5 02:07:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A rough appearance. - Mon Oct  5 02:08:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Doesn't ring....a bell, unless you mean Zenaki. - Mon Oct  5 02:08:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nevermind. - Mon Oct  5 02:08:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But regardless let's head into town. - Mon Oct  5 02:08:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I realised. - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I broke a rule. - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What's my punishment? - Mon Oct  5 02:09:42 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow.

"Which rule did you break?"* - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I bought a weapon into the base. - Mon Oct  5 02:10:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Didn't leave it at the door. - Mon Oct  5 02:10:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mmmm. - Mon Oct  5 02:10:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No punishment. - Mon Oct  5 02:10:33 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) shrugs.* - Mon Oct  5 02:10:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Can't accept that. - Mon Oct  5 02:12:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Afterall I made the rule myself. - Mon Oct  5 02:12:16 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) shrugs once more.

"No punishment 'cause I can't think of anything." she says.* - Mon Oct  5 02:13:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So be it then. - Mon Oct  5 02:14:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You want to head back? - Mon Oct  5 02:15:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We can. - Mon Oct  5 02:15:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Probably just gonna go find things to punch if we do. - Mon Oct  5 02:15:40 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods, taking the hand. She's watching it as she does so.* - Mon Oct  5 02:16:32 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: I'm still wondering who white-hair is. - Mon Oct  5 02:16:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'll be back soon, Stay safe until I return. - Mon Oct  5 02:17:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Alright... - Mon Oct  5 02:17:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sanoke. - Mon Oct  5 02:17:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Something wrong? - Mon Oct  5 02:17:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Lets go on a mission. - Mon Oct  5 02:17:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) whispers: Not really. Although, if I don't get any action, I might be inclined to join a village eventually. - Mon Oct  5 02:18:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Fair enough, I'll try to get you some action soon enough. - Mon Oct  5 02:18:14 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) nods.* - Mon Oct  5 02:18:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Also this money was yours, Incase you wanted to buy any weapons or etcetera. - Mon Oct  5 02:19:05 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) eyes it for a long moment. Eventually she shrugs and takes it.* - Mon Oct  5 02:19:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So was there anyone who desired to give me scrolls for money? - Mon Oct  5 02:19:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What's up? - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ah? - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds good. - Mon Oct  5 02:21:39 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's hands meet. She forms the tiger seal. With that, she flickers in and out of sight.

The girl places herself west of Tetsu, with an eyebrow lifted. She'd only just now realized what was going on over here.

She takes some time to assess the situation.* - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll take them then. - Mon Oct  5 02:22:30 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I don't care.  - Mon Oct  5 02:31:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then leave. - Mon Oct  5 02:31:02 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Mon Oct  5 02:31:53 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) makes eye contact with Hassan. Said eyes are a bit cold. She's staring daggers.

"This...is what you do to people that do this...to your people?" she inquires.

She just...judging by his response, isn't even sure that she's allowed to attack the man.* - Mon Oct  5 02:31:53 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: You guys are annoying me, that's all. - Mon Oct  5 02:31:53 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I'm going to bring Tategama's dream to fruition. - Mon Oct  5 02:31:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .So you go all spooky monster mode. - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Huh? - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're still here? - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And punch that man in his head? - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I see. - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No. - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not for long. I'm not. - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Tetsu! You okay? If you're alright, hold two fingers up. - Mon Oct  5 02:32:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? - Mon Oct  5 02:33:36 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Your day is over, kind sir. - Mon Oct  5 02:33:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ..... - Mon Oct  5 02:33:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thats impossible. - Mon Oct  5 02:33:36 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: You may not reverse time, it will forever ascend. - Mon Oct  5 02:33:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Take it from someone who has tried. - Mon Oct  5 02:33:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm still suprised you're here. - Mon Oct  5 02:34:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . .I see. - Mon Oct  5 02:34:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: So he simply hasn't realized we could easily tire him out and then drown him with these numbers. Sunagakure shinobi aren't very....creative. - Mon Oct  5 02:34:27 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's expression relaxes a bit.* - Mon Oct  5 02:34:27 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Can't blame him. Only made that plan when I was plotting Erebus's very easy death. - Mon Oct  5 02:37:00 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) 's arms cross. She averts her eyes.* - Mon Oct  5 02:37:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Koji. - Mon Oct  5 02:41:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: !! - Mon Oct  5 02:42:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Tetsu! Stop playin'. - Mon Oct  5 02:43:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hold up those fingers. - Mon Oct  5 02:43:50 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) begins walking at a lazy pace, intending to close the distance. Arms cross, as she's no longer really worrying about fighting.

Her muder boner had only been triggered by Tetsu being in danger. Normally she'd give few fucks.* - Mon Oct  5 02:44:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Bah. - Mon Oct  5 02:48:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Tetsu just took a nap. Someone take him to a bed. - Mon Oct  5 02:48:06 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Maybe I was a bit to late? - Mon Oct  5 02:52:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Izutora. - Mon Oct  5 02:58:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Yes? - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You're strong right? - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Koji? - Mon Oct  5 02:59:12 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I am subpar! - Mon Oct  5 02:59:12 2015
