<br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Sun Oct  4 04:46:17 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) whispers: This jail cell is boring. - Sun Oct  4 04:53:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I wish Hassan would interragate us or something - Sun Oct  4 04:53:58 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) whispers: I don't. I wish I could learn stuff from people. - Sun Oct  4 04:55:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: I wish just to be free - Sun Oct  4 04:56:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Sun Oct  4 05:14:27 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey do any of you happen to able to use Earth or lightning justu? - Sun Oct  4 05:22:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhmmmm. - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Why? - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hello, young lady, are you interesting in accerpting God as your lord and savior? - Sun Oct  4 05:24:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: Huh? - Sun Oct  4 05:24:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: No thanks - Sun Oct  4 05:24:41 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see, I guess noone in interested in christianity... oh well If you need healing im your man! - Sun Oct  4 05:25:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm...thanks? - Sun Oct  4 05:25:32 2015
<br><br><font color=yellow>*Nakahara, Setsuko(TheOfficialMidknights) sat in a jail cell with Violet.* - Sun Oct  4 05:25:32 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Welcome - Sun Oct  4 05:26:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh .. the reason im asking is becaus i need someone to teach me.' - Sun Oct  4 05:28:06 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I'm guessing my current teacher is out on a mission some where or something. - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm.... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: I mean... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't mind... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which one did you want...? - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh wow im lucky which style do you know? - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I wish Lera was here... - Sun Oct  4 05:28:57 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I wish Setsuna was here... - Sun Oct  4 05:29:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Both *yawn* - Sun Oct  4 05:29:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Though...I'm better with Doton. - Sun Oct  4 05:29:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Alright... - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Follow me I guess? - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Oct  4 05:47:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh my... - Sun Oct  4 05:49:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hello there young man... are you interested in christianity? - Sun Oct  4 05:51:08 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: .... - Sun Oct  4 05:51:08 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: You coming onto me? - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... im sorry? - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: The fuck is "Christianity"? - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: It is my religion - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So...You slow or something? - Sun Oct  4 05:52:00 2015
