<br><font color=teal>*Index(Jjking217) whispers: But maybe  I should. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm...I'm sorry Ume.. - Sat Nov  7 12:45:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Oh man, you and Ortho and your sorry's... course dying is a real bitch. - Sat Nov  7 12:46:43 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see your vocabulary has increased. *light chuckle* - Sat Nov  7 12:46:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I had to see you though, I made you a promise last we talked privately. - Sat Nov  7 12:46:43 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You didn't have to uphold that promise...I did attack you...And Ortho. - Sat Nov  7 12:46:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ....Yeah well when the two people you care the most about are cursing back and forth you pick a thing or two up. I don't like talking this way but it's...suitable to this persona. - Sat Nov  7 12:47:34 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Persona? - Sat Nov  7 12:47:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Owari Hajmari. - Sat Nov  7 12:47:34 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hajimari* - Sat Nov  7 12:47:34 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Nice name...Are you starting over..? Or do you have ulterior motives? - Sat Nov  7 12:48:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'm a sweet on the inside but bad mouthed 'edgy' elementalist shinobi from Kirigakure... - Sat Nov  7 12:48:25 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) scrunched up her brow faintly.* - Sat Nov  7 12:48:25 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: This is me ....until I die again. - Sat Nov  7 12:48:25 2015
<br><br><font color=teal>*Index(Jjking217) whispers: That 'persona'...Man, Ortho's gonna' be jealous you're going to be flocked to...But that ability of yours....It's hard to believe it's true. - Sat Nov  7 12:50:08 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: You seem rather...calm for the fact that I'm alive after having been killed by you.---hah... yeah... - Sat Nov  7 12:50:08 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Calm? I'm the opposite. - Sat Nov  7 12:50:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He finds this new...body 'attractive'. - Sat Nov  7 12:50:59 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Anyway.......that...we shouldn't talk about that. - Sat Nov  7 12:50:59 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Ume, I want to let you in on something....Do you know how I can sit here and calmly speak with you? - Sat Nov  7 12:51:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: If you are willing to go somewhere less public, I can explain more... if you wis--hm? - Sat Nov  7 12:51:50 2015
<br><br><font color=teal>*Index(Jjking217) whispers: We can go somewhere more private, I'd rather not say this in public. - Sat Nov  7 12:52:41 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I own a house to the west of here, If you wish to go there. - Sat Nov  7 12:53:32 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded and stood, she smoothed out her dress with both hands in the front and back and then slowly began to walk to the South East.* - Sat Nov  7 12:53:32 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) slowly walked over to take a seat on one of the cushions, she wasted no time making herself at home.* - Sat Nov  7 12:56:57 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) nodded and looked at the tea, she then started smiling and then actually laughed. "I... I uh... yeah I sort of don't need to eat or drink....or sleep....."* - Sat Nov  7 13:00:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: In fact the only thing that... does fancy my tastebuds... would likely disgust even Ortho. - Sat Nov  7 13:01:13 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I really think we shouldn't speak of that... I haven't told anyone that part...before. - Sat Nov  7 13:02:56 2015
<br><br><font color=teal>*Index(Jjking217) says: I won't force you, But I also won't tell your secret. - Sat Nov  7 13:03:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Well.. considering I just told you some pretty big secrets.... - Sat Nov  7 13:03:47 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You would look at me very differently on that part... we should build up to that. Also you are.... avoiding the topic. - Sat Nov  7 13:03:47 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah...The topic scares me. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Index(Jjking217) says: But. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Index(Jjking217) says: It's not because, I didn't care. But when I saw you...On the ground. - Sat Nov  7 13:04:38 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I know, I saw that look. - Sat Nov  7 13:05:29 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) widened her eyes while listening to him, "...you.... did you enjoy killing me?" Her voice sounded empty, she was surprised. Out of everything he could have said, this is not what she thought he would say.* - Sat Nov  7 13:11:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) watched as he neared her and glanced down to the blade. She took it into her hand and rolled the handle around in her palm as she stared down at the blade and then something specifically triggered a memory and she quickly shot her arm up so the kunai was at his throat. Her voice then spoke out in a low serious tone, "you aren't human."* - Sat Nov  7 13:21:42 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I asked you a question.... - Sat Nov  7 13:29:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....wait...I...erg... - Sat Nov  7 13:29:23 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) snarled lightly, "what...are you?"* - Sat Nov  7 13:29:23 2015
