<br><font color=teal>*Index(Jjking217) says: I'll hang out with you later, Alright Nina? - Sun Nov  1 00:25:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Have fun with your spar. - Sun Nov  1 00:26:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nice, lets go!~ - Sun Nov  1 00:27:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Hi Sister, are you ok? - Sun Nov  1 00:30:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I feel really good today honestly. - Sun Nov  1 00:30:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's a weird good, but it's good. - Sun Nov  1 00:30:17 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats great - Sun Nov  1 00:31:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I fee l like. - Sun Nov  1 00:31:08 2015
<br><br><font color=teal>*Index(Jjking217) says: 'time forrrrrrrrrrrrrrrrrrrrr tain. - Sun Nov  1 00:31:08 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Sun Nov  1 00:31:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I feel like it's time for me to train* - Sun Nov  1 00:32:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . . - Sun Nov  1 00:32:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Although.... - Sun Nov  1 00:32:51 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im pretty good myself - Sun Nov  1 00:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: The "good"....is from adrenaline. - Sun Nov  1 00:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Probably not a good sign you know. - Sun Nov  1 00:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I feel....that when Edge gets here.... - Sun Nov  1 00:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We won't be at our best. - Sun Nov  1 00:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm not sure I'll be able to fix that or not. - Sun Nov  1 00:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But I want to. - Sun Nov  1 00:33:42 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm worried. - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I feel like....my kill is gonna..... - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Stress people out. - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Index(Jjking217) says: Don't. - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Index(Jjking217) says: Don't think like that. - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Don't get me wrong. - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: When I say "worried".... - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your kill? - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm.... - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not unhappy. - Sun Nov  1 00:34:33 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But...I do feel the need to do something. - Sun Nov  1 00:35:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I feel like....we might lose. - Sun Nov  1 00:35:24 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yes, my kill. Saeza. - Sun Nov  1 00:35:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I believe anything is possible as long as you can outthink you opponent - Sun Nov  1 00:36:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I understand peoples' anxiety. I understand their fear. - Sun Nov  1 00:36:16 2015
