<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's looking one-sided as fuck. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Heh. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Least that ratfaced bitch is gettin' his ass handed to him. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Atleast something is going right today. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: That guy is dumb as fuck, but he's a brute.. Literally. - Mon Oct  5 03:22:14 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Don't think I'm going to .... - Mon Oct  5 03:22:14 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Meh. - Mon Oct  5 03:22:14 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey, Maloth. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'ma go chill at the local onsen. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Who's game? - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: 'Lo. - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Huh? - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Uh, it's a - You prob haven't been there. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's spar, Maloth. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Tis a public bathing place. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: But it's. - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Like'a spa? - Mon Oct  5 03:25:39 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: 'Kay. - Mon Oct  5 03:26:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Coo. - Mon Oct  5 03:27:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are you going to make the first move? - Mon Oct  5 03:27:21 2015
<br><br><font color=yellow>*Hikensha, Takumi(Nexus 420) throws glass of water at Masked Man's fireball.* - Mon Oct  5 21:15:44 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: omit - Mon Oct  5 21:16:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Mon Oct  5 21:28:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see.. - Mon Oct  5 21:28:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Put the mask back on... - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...Why are you here. - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: He gazed into my eyes, And saw the blackened Fire of My mixtape. - Mon Oct  5 21:29:23 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: --omit- - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: The what now. - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Baakaaa. - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Where did you get that eye.... - Mon Oct  5 21:30:14 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: Rape - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>***Masked Man**(Jjking218) says: --omit- - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ..... - Mon Oct  5 21:35:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Your intentions? - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...Yes. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To release the man. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I respect your decision. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Carry on. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thank you. - Mon Oct  5 21:37:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: <*Respects RP*> - Mon Oct  5 21:38:46 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Mon Oct  5 21:38:46 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: What was that? - Mon Oct  5 21:40:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Good question. - Mon Oct  5 21:41:20 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: No, I'm fine. - Mon Oct  5 21:42:11 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Still a little numb. - Mon Oct  5 21:42:11 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: So. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Raikage man. Did you get the orders in yet? - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll let you know when I get the weights. - Mon Oct  5 21:43:53 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hnnn... You sent the orders out tho' right? - Mon Oct  5 21:44:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Don't worry about it. - Mon Oct  5 21:45:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Have you heard from the blonder Misa? - Mon Oct  5 21:46:27 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Mon Oct  5 21:46:27 2015
<br><br><font color=teal>*Reguel(Airide) says: Figures. - Mon Oct  5 21:47:18 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'ma worry about it til' I gett'em. - Mon Oct  5 21:47:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You won't live that way. - Mon Oct  5 21:48:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It's not healthy. - Mon Oct  5 21:48:09 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Well if you put the order in already then I wouldn't have'ta worry so much. - Mon Oct  5 21:48:09 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Hey. Raikage. - Mon Oct  5 21:49:00 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Want to invest in some weapons? - Mon Oct  5 21:49:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm? - Mon Oct  5 21:49:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: These people ask me to buy too much... - Mon Oct  5 21:49:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: I guess they don't want a proper hospital. - Mon Oct  5 21:49:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Raikage-sama, could you let me know if Gezo knows anything about the "Tokisaki" kekkai genkai? - Mon Oct  5 21:50:43 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: I wonder if turning into a katana is all I can do. - Mon Oct  5 21:50:43 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Tokisaki? Never heard of it. - Mon Oct  5 21:50:43 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeahuh, it's the clan I'm part of. - Mon Oct  5 21:51:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll look into it I suppose. - Mon Oct  5 21:52:25 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, that reminds me, Miranda didn't have any scrolls did she? - Mon Oct  5 21:52:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I don't know who Miranda is. - Mon Oct  5 21:52:25 2015
<br><br><font color=teal>*Reguel(Airide) says: Strange. - Mon Oct  5 21:53:16 2015
<br><br><font color=teal>*Reguel(Airide) says: Ugh so much things are going on, and I can't do anything about it. - Mon Oct  5 21:58:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: A'ight. All done. - Mon Oct  5 22:03:31 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Hello Niza. - Mon Oct  5 22:05:13 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Mon Oct  5 22:05:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Mon Oct  5 22:06:04 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello Misa. - Mon Oct  5 22:08:38 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You wouldn't happen to know a blacksmith would you? - Mon Oct  5 22:09:29 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Sadly, no. - Mon Oct  5 22:10:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Mon Oct  5 22:11:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Then are you able to order something for me? - Mon Oct  5 22:12:54 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Mon Oct  5 22:12:54 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If I have the funds, possibly. - Mon Oct  5 22:12:54 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll design it right now then. - Mon Oct  5 22:13:45 2015
