<br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as he noticed  her attempt to meet his punch half way, and he attempted to pull his strike, without hesitation, his left foot is sent towards her stomach, about mid-way, it ignites with a similar wind chakra, his transition was smooth and effortless, it moves horizontally, as if aiming to lightly cut her stomach. But like before, he held back to the point no physical harm would befall her, besides maybe blunt force damage, and a mild stringing should the wind connect with her.

His eyes stayed focused on her, she was definately a remarkable fighter, he wondered who had trained her.* - Thu Oct  8 01:01:52 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) was swept from his feet by the mud which proceeded to push him towards the east, his hands struggling to grab for some sort of leverage to stop his movement but he had little to no availm the chakra gathering around his hand, he attempted to slam it into the ground, at full strength, aiming to use the wind from the attack to cool the mud-rapidly, and cause it to harden. Potentially limiting how far he was sent.* - Thu Oct  8 01:08:41 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Na. Mud Dragon Bomb would kill 'im. - Thu Oct  8 01:11:15 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) blinked as the large earthern dome was materialized around him, he honestly had no clue of how he was to escape this, so he approached one of the walls, and aimed to punch it with his wind jutsu. Probably making a good dent, but it wouldn't free him int he immediate future, he was at a lost, but he was also muddy, taking a seat on the ground, he scratched his head thinking of a way to free himself, seemed like he was virtually trapped at this point.* - Thu Oct  8 01:16:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not at this time anyway. - Thu Oct  8 01:19:47 2015
<br><br><font color=yellow>*Zetseun, Cypher(Jjking218) scratched his chin, a tad embarrassed with how this spar had gone as he sighed a bit "I'm sorry, I couldn't entertain." He stated, his hands on his knees, as he sat, he bowed his head apologetically to Katsune, a faint blush which was due to his embarrassment he had hyped himself up but was probably less than par. 

"I'll try to get better."* - Thu Oct  8 01:21:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. I'd keep going but. . . - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm guessing it's not as fun for you as it was for me. - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: And don't get me wrong, I enjoyed that. - Thu Oct  8 01:23:12 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I never liked getting beaten up with no chance to win though. Doubt you do either. - Thu Oct  8 01:23:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yeah, But It just means I have to get stronger. - Thu Oct  8 01:23:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: My Gramps used to tell me. - Thu Oct  8 01:24:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's not about how hard you can hit, it's about how hard you can get hit and keep moving forward. - Thu Oct  8 01:24:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If anything, I want to learn from this. - Thu Oct  8 01:24:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. - Thu Oct  8 01:27:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: 'Course, I'm getting to that point. Pretty sure I'd be able to kill Zetsumo right now if he were alive. - Thu Oct  8 01:28:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: But it'll be less favorable - Thu Oct  8 01:30:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Thank you though. - Thu Oct  8 01:30:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So are you a Suna Shinobi? - Thu Oct  8 01:32:35 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not yet. - Thu Oct  8 01:34:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: You plan to? - Thu Oct  8 01:34:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm pretty sure I'll join up some day but I dunno. - Thu Oct  8 01:34:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: When I'm strong enough I intend to go rebuild Konoha and lead it as Hokage. - Thu Oct  8 01:34:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: So if I join Sunagakure, it'll be temporary. - Thu Oct  8 01:35:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I see.. - Thu Oct  8 01:35:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have no intention of hiding that from Hassan if I go to ask for a headband. - Thu Oct  8 01:35:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: That''s probably for the best. - Thu Oct  8 01:35:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I would ask you if you wanted to get something to eat.. - Thu Oct  8 01:36:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: But I'm not allowed in the Village.. - Thu Oct  8 01:36:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mm.... - Thu Oct  8 01:36:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Well, it would be pretty sucky to have to head home right after getting here. Kumogakure's -really- far away. - Thu Oct  8 01:36:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: You can say that again. - Thu Oct  8 01:36:51 2015
