<br><font color=teal>*Zetseun, Cypher(Jjking218) says: So you could make a pill to give me green eyes or something? - Wed Oct  7 15:44:38 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Well then, You learn something new every day. - Wed Oct  7 15:52:19 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Uh, it's possible. - Wed Oct  7 15:56:35 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Sounds good. - Wed Oct  7 15:56:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo'. - Wed Oct  7 16:11:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: .... - Wed Oct  7 16:18:46 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ....? - Wed Oct  7 16:19:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup. - Wed Oct  7 16:19:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nothing of importance. - Wed Oct  7 16:24:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Right. - Wed Oct  7 16:27:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori. Gene. I have to talk to you both in a bit. - Wed Oct  7 17:00:35 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Huh? Okay. - Wed Oct  7 17:01:26 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Okay. - Wed Oct  7 17:02:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 17:03:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Let's go get some food..  - Wed Oct  7 17:05:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Come. - Wed Oct  7 17:05:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We'll pick up everything in a bit. - Wed Oct  7 17:30:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Raikage-Sama. - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hm? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is there any missions that I can do? My sisters as well? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes. - Wed Oct  7 17:41:32 2015
