<br><font color=teal>*Nina(Ninasky115) says: Yeah yeah. - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Lets go back. - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Ok love - Tue Nov  3 04:59:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Where is Lera? - Tue Nov  3 05:04:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She was tired from her journy she went home - Tue Nov  3 05:05:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Tue Nov  3 05:08:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: My lady - Tue Nov  3 05:08:28 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Is it true - Tue Nov  3 05:11:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Is what true? - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Nina. - Tue Nov  3 05:21:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Are you ready to head back? - Tue Nov  3 05:21:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What, already? - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, no. - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm asking you. - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll come back later. - Tue Nov  3 05:28:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Alright then.... - Tue Nov  3 05:29:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Tue Nov  3 05:31:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: So what have you learned Nina. - Tue Nov  3 05:31:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Kenjutsu and ninjutsu. - Tue Nov  3 05:31:31 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You went to Sunagakure? - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm. - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How do you know Ortho? - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He's my brother. - Tue Nov  3 05:33:13 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: .... - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Uhuh. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: So you are a red eyes. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: A what? - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Red eyes. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The crest he wears on his back. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Red eyes use them. - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: it* - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What are you talking about red eyes? Are you okay? - Tue Nov  3 05:34:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The crest on his back Nina. - Tue Nov  3 05:34:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Have you seen it? - Tue Nov  3 05:34:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Uh huh, still don't know what these red eyes are. - Tue Nov  3 05:35:47 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: A doujutsu. - Tue Nov  3 05:35:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Now you're just making stuff up, those don't even exist. - Tue Nov  3 05:36:38 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I have seen them with my own eye. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There was a man named Hideki. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If that's a thing, why didn't we learn about them in the academy? - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He had red eyes and wore that crest on his back. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Kirigakure hunted the red eyes untill near extinction. - Tue Nov  3 05:37:29 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The red eyes and white eyes were hunted down long ago. - Tue Nov  3 05:38:20 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But the hunt was called off some time ago. - Tue Nov  3 05:38:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Uh huh..... - Tue Nov  3 05:39:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Still don't know where these red eyes are talking about. - Tue Nov  3 05:39:12 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: They are there. - Tue Nov  3 05:40:54 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I do not know the specifics about them but the red eyes are there. - Tue Nov  3 05:40:54 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: My knowledge on them is limited. - Tue Nov  3 05:44:19 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But they are there if he wears that crest in his back. - Tue Nov  3 05:44:19 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mizukage-sama, can I be rewarded for my three daily missions? - Tue Nov  3 05:48:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You guys need more fun around here. - Tue Nov  3 05:52:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why not make some then? - Tue Nov  3 05:52:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Because the only way I know how is sparring, since I don't know any of you. - Tue Nov  3 05:52:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Tue Nov  3 05:52:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. - Tue Nov  3 05:52:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh well. - Tue Nov  3 05:52:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mizukage-sama. - Tue Nov  3 05:53:42 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Can I get my mission rewards? - Tue Nov  3 05:53:42 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Thank you.... - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Is there anything I may do for you, Missus Mizukage? - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: No Hanai. - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Thank you. - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, lady, who are all of these new people around? - Tue Nov  3 05:55:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Genin who graduated the academy as of recently. - Tue Nov  3 05:56:16 2015
