<br><font color=teal>*Hassan, Trilliam(ZaVante) says: We dont eat rice. - Sun Dec  6 08:41:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: LIES -OMIT - Sun Dec  6 08:42:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Sun Dec  6 08:42:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh and Iza... - Sun Dec  6 08:42:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Daddy has to go away for a bit just a teeny tiny bit. - Sun Dec  6 08:42:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Tiem to teach iza to dodge... - Sun Dec  6 08:42:14 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Sun Dec  6 08:42:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit btw- - Sun Dec  6 08:42:14 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Your going to find Testu arent you? - Sun Dec  6 08:43:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: going to find Saito and Blues Clues  - Sun Dec  6 08:43:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sun Dec  6 08:43:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: 9the uchiha?? - Sun Dec  6 08:44:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Iza.. - Sun Dec  6 08:48:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You've been working on your air combat yes? - Sun Dec  6 08:48:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Iza, you've been working on your air combat yes? - Sun Dec  6 09:00:09 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Sun Dec  6 09:01:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: A bit. - Sun Dec  6 09:01:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That's good..Keep working on it. - Sun Dec  6 09:01:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It saved me from much haha. - Sun Dec  6 09:01:00 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) heads home rest//* - Sun Dec  6 09:02:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I didn't have time.. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-To do anything.. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Because I'm w-weak.. - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hey Marco, have ya finished those badges? - Sun Dec  6 19:05:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: The moment she kicked you. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You should have used the wires. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-They wouldn't of done a-anything. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Bind her. - Sun Dec  6 19:06:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: It would have bought you the time you needed. - Sun Dec  6 19:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I guess.. - Sun Dec  6 19:06:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I stil lost.. - Sun Dec  6 19:06:52 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: See why I was training you before? - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Before the e-exam.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I broke m-mitsunara's nose on a-accident.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And after i-it I fought s-sanoke.. - Sun Dec  6 19:07:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And he summoned this h-huge turtle.. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And I punched him..b-but he dodged..b-but I hit him.. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And he went f-flying down.. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I think I w-won that.. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You have the power. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: All you need is the mind set. - Sun Dec  6 19:08:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: If someone comes to over power you, you need to think and use everything you have to live. - Sun Dec  6 19:09:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Not all the times someone will arrive on time to save you ya know. - Sun Dec  6 19:11:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I know.. - Sun Dec  6 19:11:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Come on, lets get something to drink. - Sun Dec  6 19:12:00 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: 95% gonna take a while to restore back to 100% -Omit- - Sun Dec  6 19:12:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh...sure.. - Sun Dec  6 19:14:33 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would notice that the homie asleep, so he would try again later.* - Sun Dec  6 19:34:11 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [Who was the adminw ho did Protecting 64 Palms?] - Sun Dec  6 19:39:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Zeno and Uptown - Sun Dec  6 19:40:09 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: lets walk so i can tell you the rules - Sun Dec  6 19:40:09 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [Pretty sure it's suppose to be under the ninjutsu category since it uses chakra] - Sun Dec  6 19:41:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Yehh, Idk what's that about haha.. i said the same thing but my body blow is in the tai  section as well - Sun Dec  6 19:41:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: well it wasn't in the game either previously - Sun Dec  6 19:41:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: mischan prolly idk but... the rules are same for rotation.. i got confirmation - Sun Dec  6 19:42:43 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [It's tai+control right?] - Sun Dec  6 19:43:34 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [or nin+con] - Sun Dec  6 19:43:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: if we arent strong enough to deliver damage then nothing is inflicted but there is still a throwback - Sun Dec  6 19:43:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: that is a good damn question - Sun Dec  6 19:43:34 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: we need to ask about that.. we should be able to apply tai some how -.- - Sun Dec  6 19:44:25 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [I know rotation uses con same with air palm] - Sun Dec  6 19:45:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: also you have to rp using it offensively or defensively.. can't be both at the same time - Sun Dec  6 19:45:16 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [for what, protecting?] - Sun Dec  6 19:45:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: yes for protecting - Sun Dec  6 19:45:16 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [Alright] - Sun Dec  6 19:45:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: i'll AH it but you do it too when i guess zeno or uptown is on - Sun Dec  6 19:46:08 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) whispers: [Ok] - Sun Dec  6 19:46:59 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Phew..I'm tired. - Sun Dec  6 19:54:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yeah... - Sun Dec  6 19:54:40 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Sorry about all the running but I'm not all that good with a katana yet and I didn't want you to hit me. It'd hurt.. a lot. - Sun Dec  6 19:56:22 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: It's fine. - Sun Dec  6 19:58:56 2015
