<br><font color=teal>*Kuro(Ichigo10101) says: He could have been talked to. - Sat Oct  3 17:50:56 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: His blood -wreaked- of thirst to kill.. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He had the potential to be reasoned with. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Everyone has the potential to be reasoned with. - Sat Oct  3 17:51:47 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Bye.. - Sat Oct  3 17:59:28 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) recalled dragging Kubikiribocho off with her. Guess not. She'd look toward the male. "Why was I being looked for..? And mind letting me have that..?" She'd question, seeming a little tense.* - Sat Oct  3 20:27:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey, Chiharu. - Sat Oct  3 20:33:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to go practice? - Sat Oct  3 20:33:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Uhhhhh.. sure. - Sat Oct  3 20:33:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Come. - Sat Oct  3 20:33:55 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: What do you want to practice? - Sat Oct  3 20:34:46 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Um.... hmm.. - Sat Oct  3 20:34:46 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Hand to hand combat, I guess. - Sat Oct  3 20:35:37 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ....Alright. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Actually...er.. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sure. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh, alright. - Sat Oct  3 20:36:28 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If you want to that is. - Sat Oct  3 20:39:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I don't mind anything. - Sat Oct  3 20:39:02 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: You choose, this time around. - Sat Oct  3 20:39:02 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I figured we could do hand to hand combat. - Sat Oct  3 20:41:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That sounds fine by me. - Sat Oct  3 20:41:36 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Just go easy on me; I'm still injured. - Sat Oct  3 20:41:36 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Okay... - Sat Oct  3 20:43:18 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) distanced herself from Mamoru, her gaze drifting to the male. 

"Ready when you are." She'd state, leaning forth slightly and bending her knees some.* - Sat Oct  3 20:45:00 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) ran forth rather eagerly, moving at a rate that was basic for her ranking. The black haired girl would throw a right hook, partially open, toward Mamoru's side. She was doing her best to ensure that she didn't hit him anywhere that would affect his recuperation from his injuries. She seemed to be well versed in taijutsu, but lacked the speed and reaction timing to fully branch out into it.* - Sat Oct  3 20:46:43 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) had her hand slapped away. Before she knew it Mamoru had managed to push her with his palm strike. None the less she'd attempt to stop herself from staggering or falling, trying to extend her left arm out, aiming to slap her palm firmly against his left breast bone.* - Sat Oct  3 20:50:08 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) was caught off guard when his hand made contact with one of her breasts. She'd stagger, her face flushing red. Her arms would fling up, her hands pressing against her shoulders, as though she was shielding her chest from visage. The girl would maintain the distance between them.

"T..that's unfair." She'd murmur, whimpering and pressing her lips together. Her look of discomfort was obvious.* - Sat Oct  3 20:56:57 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) shifted her uneasy stare to the left.

"I'm sensitive where you touched me..." She'd utter, her lips barely parting.* - Sat Oct  3 21:02:04 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I..It's fine.. - Sat Oct  3 21:04:38 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) managed a half-hearted smile, her attention redirecting to the male.* - Sat Oct  3 21:04:38 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Alright... by the way... j-just make sure you don't do that unexpectedly, okay..? - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Y-Yeah. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll keep that in mind. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Sometimes I forget that you're a girl. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Since you're always my weapon and you act like my best friend. - Sat Oct  3 21:08:03 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Oh.. - Sat Oct  3 21:08:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: My bad. - Sat Oct  3 21:08:54 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You want to go get something to eat? - Sat Oct  3 21:08:54 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Sure. This time you can choose for me, instead of it being the other way around. - Sat Oct  3 21:09:45 2015
<br><br><font color=yellow>*Tokisaki, Chiharu(Cheesy Cakey) shined white, spinning into Mamoru's grasp in katana form.* - Sat Oct  3 21:09:45 2015
