<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Is Hideki still being Emo? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: I'm definately noticing a trend with those related to Ushinawa. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Hideki's anger has been transformed into something bigger than himself. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That so? - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Aye. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I reccomend just heading home. - Thu Oct  1 19:10:17 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: That is something that I cannot abide. - Thu Oct  1 19:10:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Care for a small chat? - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: If it's right here. - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You treat me like an enemy. - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: No, that isn't the case. - Thu Oct  1 19:12:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let me ask you a question. - Thu Oct  1 19:12:51 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Hm? - Thu Oct  1 19:12:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How much would the location of one who possesses your Doujutsu be to you? - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I don't understand your question. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: -- - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Rather. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I don't think I heard your correctly. - Thu Oct  1 19:13:42 2015
