<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Big guy. - Thu Oct  8 16:56:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fight me. - Thu Oct  8 16:57:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Punch figh'? - Thu Oct  8 16:57:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hmm..? - Thu Oct  8 16:58:27 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Any type of spar. - Thu Oct  8 16:58:27 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't mind me, I eavesdrop. - Thu Oct  8 16:59:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: . . .  - Thu Oct  8 17:00:09 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Incest fam. - Thu Oct  8 17:03:34 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: -- - Thu Oct  8 17:03:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh. - Thu Oct  8 17:03:34 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: What? - Thu Oct  8 17:26:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: ...I don't know. - Thu Oct  8 17:26:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: Where you'd find one.. - Thu Oct  8 17:27:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: I'm sure the Raikage could arrange it.... But if you're too forward with everything you might upset him. - Thu Oct  8 17:30:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: I thought you already had sex with him to be honest. - Thu Oct  8 17:37:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: I see.. - Thu Oct  8 17:41:07 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: I can. . . hear them.. - Thu Oct  8 17:43:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Narneo - Thu Oct  8 17:50:30 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When you log in ther eis literally a window in giant red letters telling you no to enter the buildings - Thu Oct  8 17:50:30 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: IDK NIGGUH TF LO) - Thu Oct  8 17:51:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: CAUSE I A- LOL MWEFWEF) - Thu Oct  8 17:52:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: LOL) - Thu Oct  8 17:55:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: .! - Thu Oct  8 18:19:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: KEKEEKEKEK~ - Thu Oct  8 18:40:51 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 18:40:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Aye, Kaori. How are you? - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Kaori(Coolm3) says: I'm fine. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hi Kaori. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Good. - Thu Oct  8 18:42:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: *Sigh* - Thu Oct  8 18:44:16 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Oh, uh. Hi. - Thu Oct  8 18:44:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kept up with your training? - Thu Oct  8 18:45:07 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Sure. - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Mmm...  - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I feel like you're just saying that... Then again, I haven't seen Gene -.. Well, I actually haven't seen much of her lately seeing as she's been busy. - Thu Oct  8 18:45:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: nigga im right here - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah. - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nonetheless... - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Seeing as I am the oldest. - Thu Oct  8 18:46:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We should do something as a family... Like... Uh. - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Deez nuts? - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Got em' - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: I finished m-my assignment, A-Asteroth-san. - Thu Oct  8 18:57:55 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Asteroth-san. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Good evening. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: Did you now? - Thu Oct  8 19:00:28 2015
