<br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) Boxer and big eater* - Mon Nov  2 22:10:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Ah. - Tue Nov  3 04:07:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: You found your girlfriend. - Tue Nov  3 04:07:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: You seem so much more happy and content now. - Tue Nov  3 04:09:36 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Tue Nov  3 04:13:00 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he walks down the path a bag of chips in his hand.* - Tue Nov  3 04:14:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Why so silent. - Tue Nov  3 04:17:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oh? - Tue Nov  3 04:18:59 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Herbs? - Tue Nov  3 04:19:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: Long story slim. - Tue Nov  3 04:19:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: Wanna go hang out? - Tue Nov  3 04:23:15 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he eats a couple chips "Sure sounds like fun."* - Tue Nov  3 04:24:06 2015
<br><br><font color=teal>*Ziare(Meekee) says: Wait. - Tue Nov  3 04:25:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you wanna do...? - Tue Nov  3 04:25:48 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ha..Do you realy have to ask Food of course. - Tue Nov  3 04:25:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right... - Tue Nov  3 04:25:48 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) He would greet the staff they always brightend up when he came through. They had been feeding him since he was a kid he would call out "Hey the usual." Which was one of everything on the menu excluding drinks of course. He was surpised that Ziare actually wanted to come he normaly never went out to public places he was usually invested in some book. "So Smartz how have you been?" he would begin to make small talk.* - Tue Nov  3 04:30:56 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he would laugh. The child hood name always seemed to stick to him becasue he was small after all (Ya boy delisoinal)  "So far so good got some new  clothes and now there is great food. the waiters wouldshow up with their food and he would begin to shove his face all Goku style his table manners were just as bad as Ziare.* - Tue Nov  3 04:39:28 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) it would seem as though the teen was inhaling food he would notice his bud was all gloom "Hey Smartz what you wann do after this and are you going to eat that huh." * - Tue Nov  3 04:50:33 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he woud look over at the guy who joined him back to Ziare then they guy again in a commincal fasion "Hmmm Ummmm....I have no dieal excuse me sir who are you?" he would have a friendly smile on his face.* - Tue Nov  3 04:54:49 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he would laugh and choke on pecie of rib he would then pound his chest coughing it back up he would procedde to eat it once more "Hey Ray-Ray" it was his joke name for Rias due to teh fact she was sorta tomboyish "He got you good with that one."* - Tue Nov  3 05:00:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well? - Tue Nov  3 05:08:28 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Sure Im game - Tue Nov  3 05:09:20 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Sure Im done here. - Tue Nov  3 05:10:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you all want to do? - Tue Nov  3 05:11:02 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he would get up and tell the shop keeprs "Hey put it on the fam's tab."* - Tue Nov  3 05:11:02 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Uhhh.. Its about to you guys since i picked to come here. - Tue Nov  3 05:11:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias? - Tue Nov  3 05:11:53 2015
<br><br><font color=teal>*Rias(Jhunt713) says: J... you really need to start paying you- hmm? - Tue Nov  3 05:12:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: What do you wanna do? - Tue Nov  3 05:13:36 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I think we need to train... the three of us~ - Tue Nov  3 05:14:27 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Eh.Food bills are not my problem how many times do I have to tell you that Ray. - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: ...Ugh I really don't like training... - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: Fine... - Tue Nov  3 05:15:18 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) thinks: Still  a little hungery but eh. - Tue Nov  3 05:16:09 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Its Ri.... you never get my name right - Tue Nov  3 05:17:00 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Nope never Ray. - Tue Nov  3 05:17:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well lets get this over with. - Tue Nov  3 05:18:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Lets head to the training field. - Tue Nov  3 05:19:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: What are we going to train? - Tue Nov  3 05:20:25 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Teamwork! - Tue Nov  3 05:20:25 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well by next log check. - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: -brackify^- - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Alright, - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: How about the most basic formation? - Tue Nov  3 05:22:08 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm. - Tue Nov  3 05:22:59 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Which would beeee. - Tue Nov  3 05:22:59 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: What was it again. - Tue Nov  3 05:23:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Tue Nov  3 05:23:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: Really man? - Tue Nov  3 05:23:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's simple. - Tue Nov  3 05:24:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: But relies on Rias to hit her jutsu. - Tue Nov  3 05:24:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: Once she can successfuly land the Mind Body Switch technique. - Tue Nov  3 05:25:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: I connect my shadow imitation technique. - Tue Nov  3 05:25:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: And you dumpster them with your multi-size. - Tue Nov  3 05:25:32 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ah. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Yeah That one. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Just keep up. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Rias you start us off. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hit that scarecrow. - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Rias(Jhunt713) says: got it - Tue Nov  3 05:32:22 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ha Scarecrow. - Tue Nov  3 05:33:13 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he would grin and rush forward not felling his usal course of action he knew the aspects of his friends technqiues so he would arrive at the scarcrow He would then swoop down into his boxing form and begin to pullmel the scarcrow from every angle..

He would then grab the scarow by its nexk in a head lock from and explaing come chakra Jo woudl twist his head hard. If the scarecrow were a real person it would have been a broken neck. Sweat would run down his face.

"Whew guys that is a good work out right there." he would look back to the others with a grin on his face.
* - Tue Nov  3 06:21:52 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he would laugh "Sorry about that punching just gets me going."* - Tue Nov  3 06:42:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: I know. - Tue Nov  3 06:43:12 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Its like each punch gets makes me feel more and more alive you know. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: I have no idea what you're talking about. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: But makes relative sense I guess. - Tue Nov  3 06:44:03 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he walks over to the oters "High five gues for team work...Like we should make like our own hand combo thing." he would say grining.* - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah, not bad. - Tue Nov  3 07:22:27 2015
<br><br><font color=teal>*Ziare(Meekee) says: We just need to be quicker. - Tue Nov  3 07:22:27 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Yeah. - Tue Nov  3 07:31:50 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Me be quicker Ha. - Tue Nov  3 07:32:41 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: good joke. - Tue Nov  3 07:32:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'll make up for you then. - Tue Nov  3 07:32:41 2015
<br><br><font color=teal>*Ziare(Meekee) says: My shadows are pretty fast. - Tue Nov  3 07:33:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Plus I don't only need just shadows to take people out. - Tue Nov  3 07:34:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: All you gotta worry about is if you're hitting hard enough. - Tue Nov  3 07:34:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: Alright buddy? - Tue Nov  3 07:34:24 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Fine by me. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Just point and I punch. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Ziare(Meekee) says: LEave the tactics to me. - Tue Nov  3 07:36:57 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Makes my life so much eaiser. - Tue Nov  3 07:38:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: My shadows don't miss their marks. - Tue Nov  3 07:40:22 2015
<br><br><font color=teal>*Ziare(Meekee) says: My plans have never failed me either. - Tue Nov  3 07:42:04 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: I beleive you . - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: As long as they dont miss I dont miss. - Tue Nov  3 07:42:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Basically if Rias can keep up, then we won't lose. - Tue Nov  3 07:44:38 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I can keep up... I just need the faster hand and the element of surprise - Tue Nov  3 07:44:38 2015
<br><br><font color=teal>*Ziare(Meekee) says: Element of suprise? - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't need suprise. - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Ziare(Meekee) says: You guys should master some of your jutsus while you're here. - Tue Nov  3 07:48:03 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Its hard to master a jutsu thats so... different - Tue Nov  3 07:49:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's your clan's jutsu. - Tue Nov  3 07:53:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: You need to be a beacon. - Tue Nov  3 07:53:10 2015
<br><br><font color=teal>*Ziare(Meekee) says: You are a future clan leader. - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: I mastered mine for the most part. - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: You too Jover. - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Yea, I know... - Tue Nov  3 07:54:01 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Yeah, - Tue Nov  3 08:02:33 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Ill work on it. - Tue Nov  3 08:03:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I have. - Thu Nov  5 21:31:31 2015
<br><br><font color=teal>*Index(Jjking217) says: I've decided. - Thu Nov  5 21:32:22 2015
<br><br><font color=teal>*Index(Jjking217) says: To leave it to chance. - Thu Nov  5 21:32:22 2015
<br><br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) he wakes up after falling asleep at the traning feild he sees a ton of new faces and shrugs  he picks him slef up and goes off to loof for Ray and Smarts he then thinks <Where would I be if I were those two.>* - Thu Nov  5 21:32:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a priest.. - Thu Nov  5 23:16:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't have to believe it. - Thu Nov  5 23:17:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The truth is what it is. - Thu Nov  5 23:17:20 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I was never a religious man.. I don't believe putting my faith in something I cannot see. - Thu Nov  5 23:18:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's also fine... - Thu Nov  5 23:19:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: God will still save you. - Thu Nov  5 23:19:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly, I'm too busy to purify you. - Thu Nov  5 23:19:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where's that other one... - Thu Nov  5 23:20:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Waggle-chan... - Thu Nov  5 23:20:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: No, but it's weird. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You say to be a man of God... Yet. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: What you speak of doesn't sound like redemption.. It sounds like... Purging... - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Filth. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Or trash. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Does it? - Thu Nov  5 23:24:09 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: It does. - Thu Nov  5 23:24:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's pretty strange, as a priest I try to be as kind as possible. - Thu Nov  5 23:24:09 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Then elaborate..  - Thu Nov  5 23:25:00 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I'm curious. - Thu Nov  5 23:25:00 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: What is this religion of yours? - Thu Nov  5 23:25:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Purging tends to have the deeper meaning that the subject being purged is a threat. Right? - Thu Nov  5 23:25:52 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Yes. - Thu Nov  5 23:25:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nothing here is a threat to God, or my religion. - Thu Nov  5 23:25:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Misguided souls are just that. Misguided. - Thu Nov  5 23:26:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm?~ - Thu Nov  5 23:26:43 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I suppose so. - Thu Nov  5 23:26:43 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: - - Thu Nov  5 23:26:43 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) thinks: Fucking great. - Thu Nov  5 23:26:43 2015
