<br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You not up for it? - Fri Oct  2 23:36:57 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Not really... - Fri Oct  2 23:38:40 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I see. - Fri Oct  2 23:42:56 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll be training on my own then. - Fri Oct  2 23:42:56 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) sheathes his white tanto after his swings. He was sweating rather profusely. Mamoru was content with his newfound speed as well as his new techniques. "It seems I've gotten a little bit closer to your level now, Hideki." Mamoru chuckled softly to himself.* - Sat Oct  3 00:10:14 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) smiles over towards Chiharu. "Hello. Have you decided to come join me in training?" Mamoru questioned.* - Sat Oct  3 00:14:30 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Yeah. - Sat Oct  3 00:14:30 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Great. - Sat Oct  3 00:14:30 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Com'on. - Sat Oct  3 00:15:21 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) extends his arm towards her.* - Sat Oct  3 00:15:21 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) // "Impressive. It appears that you've become a bit more different." He admired the red of her blade as well as the white of her handle. His hand runs across the handle momentarily. Suddenly, he gripped her, and swung her as a testimony to his newfound strength.

[15.5 Strength Stat.] He had become more able to swing Chiharu around. Hopefully, she had not grown in weight or anything, allowing Mamoru to find her much more lightweight than he had been finding her before. "I like the idea of a red blade. Is it to make sure the blood of potential enemies doesn't ruin your leggings?" He questioned. 

He swings her quickly, testing her.* - Sat Oct  3 00:22:11 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Any other weapon? - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'm fine with a katana. - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We need to work on our coordination though. - Sat Oct  3 00:28:09 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: True.. - Sat Oct  3 00:28:09 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We'll work well together, I'm sure. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You said something about mastering an element. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Mastering an element? - Sat Oct  3 00:30:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: With chakra flow. - Sat Oct  3 00:30:43 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: We'll figure it out in due time. - Sat Oct  3 00:31:34 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: Ah.. - Sat Oct  3 00:32:25 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I can transform into things other than weapons, also. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) says: I think. - Sat Oct  3 00:34:59 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That'd be neat. - Sat Oct  3 00:34:59 2015
<br><br><font color=yellow>*Masayoshi, Mamoru(KingSoraHearts) cranes his head to Kuro momentarily. "My injuries? I'm feeling better than I did yesterday, at least." He stated. * - Sat Oct  3 02:56:38 2015
<br><br><font color=teal>*Reguel(Airide) says: I wanted to train. - Sat Oct  3 02:58:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I won't be collapsing anymore, at least. - Sat Oct  3 02:58:20 2015
