<br><font color=teal>*Ziare(Meekee) says: It's more efficient than yours. - Mon Nov  2 07:39:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Running in headfirst to forcefully be the best. - Mon Nov  2 07:40:48 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Maybe. - Mon Nov  2 07:43:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well I won that spar. - Mon Nov  2 07:43:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: So that's pretty convincing in it's own right. - Mon Nov  2 07:44:12 2015
<br><br><font color=yellow>*Rias(Jhunt713) would approach the partiucular ninja she was looking for and try to sneak up on him... if successful she would press her body against his back and squeeze him tightly. If not she would smilie at him and give him a big hug, "Z! I was looking everywhere for you!" she busty beauty said smiling* - Mon Nov  2 07:45:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Mon Nov  2 07:46:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: what the fuck..? - Mon Nov  2 07:46:46 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I was just looking for one of my favorite pa- why are you looking so different today? Whats with the changes? - Mon Nov  2 07:49:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: For some reason I like being younger than everyone now. - Mon Nov  2 07:54:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So uh Nori. - Mon Nov  2 07:56:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How are you medical skills progressing? - Mon Nov  2 07:57:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: It's. . getting better. Although a teacher would be helpful sometimes. Kinda hard to find another medic though. - Mon Nov  2 07:58:43 2015
<br><br><font color=yellow>*Rias(Jhunt713) pouted and placed her hands on her hips, "You know how I like to stick to tradition... I dont even know why you always fight with me Z..." she said in a lower tone of voice. For the outside it could be stated that the two were extremely close relationship wise. 

"Just promise me that you will at least consider changing your style back more often?" she pleaded with him * - Mon Nov  2 07:58:43 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Heh. - Mon Nov  2 07:59:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: If it'll get you off my back. - Mon Nov  2 07:59:34 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: So, you're his girlfreind, huh?~ - Mon Nov  2 07:59:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: Jeez you're like my mo-... - Mon Nov  2 07:59:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: Ketsuki...Stop. - Mon Nov  2 07:59:34 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Or one that will help. Or one that doesn't say "I'm busy" when you just saw them drinking for the past. . .four hours. . .  - Mon Nov  2 07:59:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That's good though Nori. - Mon Nov  2 08:00:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You're one of this villages precious few medics. - Mon Nov  2 08:00:25 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Before I met you, I didn't know we had /any/ medics. - Mon Nov  2 08:00:25 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: That's. . .depressing in a way. - Mon Nov  2 08:02:08 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Hmm? Girlfriend? - Mon Nov  2 08:02:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No, It just means you're also probably our best medic. - Mon Nov  2 08:02:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Take pride in that. - Mon Nov  2 08:02:59 2015
<br><br><font color=teal>*Rias(Jhunt713) says: I know waaaaaaaaaay too much to be girlfriend... <chuckles> - Mon Nov  2 08:03:50 2015
<br><br><font color=teal>*Ziare(Meekee) says: You know nothing... - Mon Nov  2 08:05:32 2015
<br><br><font color=teal>*Rias(Jhunt713) says: Ofcourse I dont~ - Mon Nov  2 08:05:32 2015
