<br><font color=teal>*Ziare(Meekee) says: He has people - Tue Nov  3 09:38:08 2015
<br><br><font color=yellow>*Rias(LionHunter) formed her hand specific technique which was a circle with her fingers hanging out the other. From there she would send her consciousness out from her body and in a straight path to the scarecrow. From the outside it would seem like Rias just passed out on the ground. Her mind wandered in the empty area until slowly  it went back to her body. She would slowly get up and think to herself, <I really need to make sure to hit my target... I hope J can guard me.>

She would get up and dust herself off and tool around. "One more time," she said getting in her stance. She would target the object with her eyes and as she is about form the last hand seal she passes out... She didnt have enough chakra to use the jutsu... after a few minutes she slowly woke up and looked around. I guess I will deal with this training later... "Night Z! We are training extra hard tomorrow!" she said with her friendly personality* - Tue Nov  3 10:23:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Damn.. - Tue Nov  3 10:24:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: I hate training... - Tue Nov  3 10:24:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: Have a good night. - Tue Nov  3 10:24:12 2015
<br><br><font color=teal>*Rias(LionHunter) says: Have sweet dreams about me~ - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not happening. - Tue Nov  3 10:25:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: I know it will~ - Tue Nov  3 10:25:55 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: ? - Tue Nov  3 16:49:04 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Who are you? - Tue Nov  3 16:49:55 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Who are you as well? - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: So many new faces. - Tue Nov  3 16:58:27 2015
<br><br><font color=teal>*Rias(LionHunter) says: Me? - Tue Nov  3 17:05:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im Rias~ - Tue Nov  3 17:05:16 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Nice to meet you. - Tue Nov  3 17:06:08 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: I'm.. - Tue Nov  3 17:06:08 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Yonbu. - Tue Nov  3 17:06:08 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Is Ortho around? - Tue Nov  3 17:07:50 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: No. - Tue Nov  3 17:09:32 2015
<br><br><font color=yellow>*Rias(LionHunter) was a busty, taller than average woman, with long flowing red hair... she was shaply and had a traditional earring on her ear. She wears the traditional cloths of her family. She more or less bounces everytime she moves because of her figure but she didnt mind it. She would smile at Yonbu and tilt her head to the side. She was also a smart cookie!

"Are you ok? You seem hurt..." she wondered pointing at the dog* - Tue Nov  3 17:13:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: This place is... much better than Sunagakure. I should get to changing my outer appearance if I don't want people after me. Bounties... *sigh* - Tue Nov  3 17:14:40 2015
<br><br><font color=yellow>*Rias(LionHunter) "Oh, ok... well I hope you fell better hun..." she said with a bouncing smile. Her assests usually moved when she did, it could not be helped. She slide her back down the tree to a point where she was sitting... She her chest sat behind her knee and her arms sat on her chest and she playing tapped her feet. <I need to train like Z said but not right now... it would serve no point> she said thinking hard... "So his name is Kumaru?" she said abotu the ninken* - Tue Nov  3 17:34:17 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: . . . - Tue Nov  3 18:18:40 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Father... - Tue Nov  3 18:20:22 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: My son . . - Tue Nov  3 18:20:22 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: -omit- - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: What do you do for fun? - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: My arm is fine. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: -- - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Oh. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Yeah. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: That's his name. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Remind me not to be your enemy. - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Rias(LionHunter) says: Scary - Tue Nov  3 18:57:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Tue Nov  3 18:57:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Why does everyone always say stuff like that.. - Tue Nov  3 18:57:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Tue Nov  3 19:03:02 2015
