<br><font color=teal>*Sanoke(Gamuhz2) says: Hng. .  - Wed Oct  7 05:50:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Your NIC is up. J/s.) - Wed Oct  7 05:54:08 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) watches from a distance.* - Wed Oct  7 06:00:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alastor, stay back and out of the way! - Wed Oct  7 06:05:13 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He watched as Yans had begun to fight Baen. "Interesting." He thought. "This could be my chance to prove myself to -them-..." He muttered. clapping his hands together, he would have his sand quietly roar to life. Within seconds, ten sand shuriken would have shot from over Alastor's right shoulder and zoom towards Yan's back. "You've been a thorn to my plans. It's time to get rid of you." He thought with a sinister grin.* - Wed Oct  7 06:18:52 2015
<br><br><font color=teal>*Reguel(Airide) thinks: What am I looking at? - Wed Oct  7 06:31:40 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He smiled. Clasping his hands together once more, he would form five hand seals. "Get ready...!" He shouted, as he began to gather his chakra and focus it. Any sensors in the area could tell there was definitly a build-up of chakra. What it was for though...? That was not revealed. Alastor slumped his gourd over his shoulder and planted it in the ground just as he finished the hand seals...He was preparing for something.* - Wed Oct  7 06:38:30 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He sighed. "No idea..." He replied to Baen. "I'm going to assume he fled judging from the clones dissipating. Shall we jet before the guards arrive...?" He shouted over.* - Wed Oct  7 06:47:02 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Nah, he told me he called em off for the fight.  - Wed Oct  7 06:47:02 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Meh, I didn't think he'd run. - Wed Oct  7 06:47:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Hm. - Wed Oct  7 06:47:53 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) submerges himself into a small pit to the side and uses third eye.* - Wed Oct  7 06:56:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Alastor. - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Hm? - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You aren't Baen hiding behind a veil are you? - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ....WHat? - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: The dude you were looking for yesterday...? - Wed Oct  7 18:50:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Coucil...Means I'll have to get involved with shinobi business...Shit... Got dragged in on the slick.. - Wed Oct  7 18:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't play stupid with me. You helped him in battle when I fought him. - Wed Oct  7 18:50:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: The hell are you talking about? - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Baen scares me. - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Mostly because he wants to kill me. - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And can. - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know for a fact that, even though he took a disguise of you yesterday and infiltrated teh village, that you were there yesterday and you attacked my clone thinking it was me. - Wed Oct  7 18:52:22 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Hold up. Someone was disguised as me...? - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: DId he manipulate sand? - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He used long range ninjutsu, something that Baen doesn't do. - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Baen is specifically a taijutsu fighter. - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If he's a taijutsu figher, how did him disguised as me even help? I'm a Manipulator. Dead give-away. - Wed Oct  7 18:54:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi, do you want to detain this guy? I don't have any techniques to capture, only to kill. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm...Who again? - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Who again?.. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Ah. So the chuunin is angry he got duped, so he'll make false charges. Got it. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: How are you even a shinobi again? - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Oh yeah.. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alastor attacked me from behind during my fight with Baen. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Soo... Can you explain yourself on that..issue Alastor? - Wed Oct  7 18:57:29 2015
