<br><font color=teal>*Engi, Ichiro(Master Roku) says: And miss out on funds. - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ivel never forget the Desert Owl is always watching. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Doubt it. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You don't have to take my advice. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Don't plan on it. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: But it's just something of note. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: When your in the shower they are watching. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hehehe. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I'm in the Desert Owl now. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .....Mrm... - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: When you are on the toliet they are watching. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Yo, Momura. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: How you been? - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Oh wow thats cool Ivel. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh? O-Oh..uhm..I-I've been okay.. - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sister...? - Wed Dec  2 00:12:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I don't have a s-sister.. - Wed Dec  2 00:13:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: er... - Wed Dec  2 00:13:39 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I thought you where related to that other person you ran the resturant with? - Wed Dec  2 00:13:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-That's my f-fiance. - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: .... My bad! - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh hey Mitsunara! - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mitsunara! - Wed Dec  2 00:15:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fight me. - Wed Dec  2 00:15:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Eh? - Wed Dec  2 00:16:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I just got home.. - Wed Dec  2 00:16:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I mean- you sure? - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea...I-I gotta fight in the l-last part of the chuunins..s-soon.. - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So I gotta g-get ready. - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Shit, I missed Chuunin Exams? - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yes. - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yep! - Wed Dec  2 00:17:04 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Don't worry about it, I missed it too. - Wed Dec  2 00:17:55 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Me three. - Wed Dec  2 00:17:55 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Wed Dec  2 00:18:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's go to t-thre arena.. - Wed Dec  2 00:18:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: A wizard did it, Hideo. - Wed Dec  2 00:19:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And sure, Momura. - Wed Dec  2 00:19:37 2015
