<br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sheesh.. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yura..yura toooo!~ - Sat Nov  7 05:04:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maaaaaaaaaaaaaan... - Sat Nov  7 23:39:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hm? - Sat Nov  7 23:40:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What to do..what to do.. - Sat Nov  7 23:41:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So have you screwed Fickle-chan, yet? - Sat Nov  7 23:41:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: No. That's not my goal, nor my job. - Sat Nov  7 23:42:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Nov  7 23:42:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So who are you screwing, then? - Sat Nov  7 23:42:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: No one. - Sat Nov  7 23:42:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Dang.. - Sat Nov  7 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey.. - Sat Nov  7 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Uh... - Sat Nov  7 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might be going away for a little while.. - Sat Nov  7 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Gotta..get a few things.. - Sat Nov  7 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ya'..know.. - Sat Nov  7 23:45:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Things.. - Sat Nov  7 23:45:29 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Sat Nov  7 23:46:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're..not even going to cry? - Sat Nov  7 23:51:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's not within my job description. - Sat Nov  7 23:52:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hmph. - Sat Nov  7 23:53:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're so cold. - Sat Nov  7 23:53:10 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Well I'm not wearing a shirt, so that could be why. - Sat Nov  7 23:54:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah maybe.. - Sat Nov  7 23:54:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can see those nipples just popping out. - Sat Nov  7 23:54:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Mhm. - Sat Nov  7 23:55:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That may attract Fickle-chan. - Sat Nov  7 23:55:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Not my job to worry about that. - Sat Nov  7 23:56:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You keep playing coy. - Sat Nov  7 23:57:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can see it. - Sat Nov  7 23:57:26 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Playing coy? - Sat Nov  7 23:57:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Sat Nov  7 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You really have feelings, but you're trying not to reveal them. - Sat Nov  7 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's okay.. - Sat Nov  7 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Everyone lusts.. - Sat Nov  7 23:58:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I only lust to protect. Nothing more. - Sat Nov  7 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sat Nov  7 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You can continue to play that game. - Sat Nov  7 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly.. - Sat Nov  7 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just be honest with me.~ - Sat Nov  7 23:59:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I've been honest this entire time. - Sat Nov  7 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Sun Nov  8 00:00:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It may be time that I start thinking about expanding my skills. - Sun Nov  8 00:00:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Possibly. - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't see how you can call that lazy bum, "Queen".. - Sun Nov  8 00:01:42 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: She leads the village. It's the title she's demanded. As long as I work under her, I will comply with her rules and wishes. - Sun Nov  8 00:03:24 2015
