<br><font color=yellow>*Mitsuko(Sage of Six Booties) cuts him!!!!!!!!!!!

(45.6 attack speed, 12.4 speed.)* - Tue Sep 29 00:31:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .Sib. . .Ling? - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Brother and sister. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No. Is no. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Greetings. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Bremusa(Ej247) says: No. - Thu Oct  8 20:05:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I think rape is next. But I don't know. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ..... - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: We need to find Lord Niza. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'll go look for him. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Treat the girl. - Fri Oct  9 03:33:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Should have stopped the girl before she took him in the first place....... - Fri Oct  9 03:34:11 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Anything Orange Haired guy? - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you find the Raikage? - Fri Oct  9 03:38:27 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I was not able to locate Lord Niza. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'll check the mansion. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Did you check every house? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ... - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: .. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How was the crater? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: I take that as he found out the mansion wasn't a thing anymore. - Fri Oct  9 03:40:09 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: How goes life? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I think we should worry about the lives that we lost rather than our own. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Huh? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I can..use my genjutsu. Why? - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I wonder if I should tell them that the girl was trying to help the Raikage out...... - Fri Oct  9 03:48:41 2015
