<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who is he? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: D-dark haired man.... always followed by a woman... p-purple eyes with a ring around them - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Dunno who you are talking about. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Probably isn't dead. - Wed Oct  7 17:42:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I did not see his body anywhere. - Wed Oct  7 17:43:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: E-excuse me... I...need a moment... - Wed Oct  7 17:43:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Purple eyes with ring.. Oh those..  - Wed Oct  7 17:44:06 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: The type of eye that Suitengu and Taiga has. - Wed Oct  7 17:44:06 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Wonder what is wrong with her. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Also Zenaki take out that book because you will be writting several things down~ - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan - Wed Oct  7 18:13:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm? - Wed Oct  7 18:13:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: When're you gonna run that mission for me? - Wed Oct  7 18:13:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: When I see Koji, Sanoke..and Lera together. - Wed Oct  7 18:14:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sorry it's been post poned, sir. - Wed Oct  7 18:14:49 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You're taking Lera? - Wed Oct  7 18:14:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's either her or Tetsumi. - Wed Oct  7 18:15:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: She's a capable kunoichi. - Wed Oct  7 18:15:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: By the way, I think Alastor ran of with Ossa, Baen. - Wed Oct  7 18:15:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ...Ugh... - Wed Oct  7 18:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Baen approached the gates and I engaged him..Alastor attempted to attack me from behind. - Wed Oct  7 18:17:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm way too old for dealing with bullshit. - Wed Oct  7 18:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Baen is in Kiri, from hearsay. - Wed Oct  7 18:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I imagine the sand manipulator went with him. - Wed Oct  7 18:18:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And the one who killed Koeki? - Wed Oct  7 18:19:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I assume Baen continued on to Kirigakure because Kirie deliverted message to Suitengu the child that Baen was waiting for him in Kirigakure. - Wed Oct  7 18:19:05 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Where would they be? - Wed Oct  7 18:19:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't figured that out yet. - Wed Oct  7 18:19:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He apparently brandished purple eyes, like Suitengu. - Wed Oct  7 18:19:05 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll put an end to all this.. - Wed Oct  7 18:19:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Allow me to handle it. You are Kazekage, you are needed more than anyone else here. - Wed Oct  7 18:20:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Don't worry about it.. - Wed Oct  7 18:20:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm Kazekage for a reason. - Wed Oct  7 18:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That's what Tethys told me..and Niza. - Wed Oct  7 18:21:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Niza is still learning. - Wed Oct  7 18:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Niza is alive, but not because of winning any battles. - Wed Oct  7 18:21:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tethys is irrational. - Wed Oct  7 18:21:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Wait . . . What about Tethys? - Wed Oct  7 18:21:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Niza is the only other member left from the Elite 5. - Wed Oct  7 18:21:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Elite 5? - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tethys was and always has been irrational. - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Ushinawa spared him. - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I failed to kill Baen. - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Kilm. - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: For the third time. - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Back in the day. - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: The Gezo gave us a mission. - Wed Oct  7 18:22:30 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So I assembled the best shinobi that were capable of doing what they did. - Wed Oct  7 18:23:21 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Me, Niza, Tethys, Niklaus, and Kronos. - Wed Oct  7 18:23:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I had a suspicion of Niza, Tethys and Niklaus being in the elite 5. - Wed Oct  7 18:23:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: But . . . Not you or Kronos. - Wed Oct  7 18:23:21 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was the leader. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice Cookies anyone?.. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Never knew. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We killed Gezo rougues. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Taiga. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You and me. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Who eats the most wins. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Niza and Niklaus were expert trackers. - Wed Oct  7 18:24:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Of course. - Wed Oct  7 18:25:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Niklaus and Niza also werked together well in close combat. - Wed Oct  7 18:25:04 2015
<br><br><font color=teal>*Kilm(Vysasi) says: They both had that anime-like smell. - Wed Oct  7 18:25:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tethys and I were easily able to support them at mid-range. - Wed Oct  7 18:25:04 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Niklaus was a wolf kind of guy while Niza used bunnies. - Wed Oct  7 18:25:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And I was able to swap out with Niza in close combat - Wed Oct  7 18:25:04 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And Kronos was long range? - Wed Oct  7 18:25:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yep. - Wed Oct  7 18:25:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He would support us all with shields and bind the enemy. - Wed Oct  7 18:25:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was also able to stand back and command them all. - Wed Oct  7 18:25:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: To allow for the best possible sync. - Wed Oct  7 18:25:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We killed high ranking Gezo soldiers. - Wed Oct  7 18:26:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Maybe I should take Tetsumi instead of Lera. Tetsumi, me, Sanoke and Koji. Sanoke says he's not that capable of fighting though. - Wed Oct  7 18:26:46 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Maybe I should...Make some Kiri Styled Ramen... - Wed Oct  7 18:27:37 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: People love ramen. - Wed Oct  7 18:27:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: As soon as I gather the members, we will leave to deal with the mission. - Wed Oct  7 18:33:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good. - Wed Oct  7 18:34:27 2015
