<br><font color=yellow>*Katsune(Shimizu3598) slowly pulls herself off of Index. Carefully, Kat then rolls over to face the east. Kat pulls her legs close. Once they're close, she reaches forwards and wraps her arms around them snuggly.

For a brief moment, Kat burries her face into her legs.

"I thought I could trust Kilm. After...Zetsumo beated me...one time. A really bad beating. Kilm was the only one I could turn to....even though I knew he was twisted."* - Wed Nov  4 02:48:57 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Okay... - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have to stop. - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I have to relax. - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: No more of these memories. - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Repressed...memories? Ya know....never thought I'd have those. - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- You didn't hear that. - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Index(Jjking217) says: --- - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Un-hear that. - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Tottally did. - Wed Nov  4 02:49:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Noopee. - Wed Nov  4 02:49:48 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) blushes. She sighs.* - Wed Nov  4 02:50:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I can't believe.... - Wed Nov  4 02:50:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Any of this happened. - Wed Nov  4 02:50:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But at least now.... - Wed Nov  4 02:55:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: If anyone confronts me about Kilm's death.... - Wed Nov  4 02:56:38 2015
