<br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 22:10:46 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: I'll attack you again, and others too.  - Thu Oct  8 22:11:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: When the time comes. Then I'll attack them aswell. - Thu Oct  8 22:11:37 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mph.. I'll think about it. - Thu Oct  8 22:12:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be heading out then. - Thu Oct  8 22:13:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Stay safe. - Thu Oct  8 22:13:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 22:13:20 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Bye. - Thu Oct  8 22:13:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: Hello. - Thu Oct  8 22:21:52 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: KILL EVERYTHING - Thu Oct  8 22:25:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ! - Thu Oct  8 22:25:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) appeared to the scene, noticing Kojiro holding a blade within his hand, that had chakra flowing through it, however he also noticed Heiwa. He shifted his gaze toward him. ".......Let's get going, Heiwa."* - Thu Oct  8 22:26:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Look at them. . . all lined up. .  - Thu Oct  8 22:26:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: . . . . . . . . . . . . - Thu Oct  8 22:27:50 2015
<br><br><font color=yellow>*Hideki(Assassin241) grabbed Heiwa's hand. But he turned his head to look at Tetsumi. "....What are you doing here?"* - Thu Oct  8 22:28:41 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ...He hasn't replied. - Thu Oct  8 22:32:06 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I find it odd.. - Thu Oct  8 22:32:06 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: . . . . . . . - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That your village. - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kills my close friend. - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And you have the balls.. - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: THE BALLS. - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: To show your face here. - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: Ohhh they might fight. - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: . . . . . . . . - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: Let me give.... you a fair warning.... - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: Your close friend was killed by my village. - Thu Oct  8 22:32:57 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: You should hope that you aren't killed by me. - Thu Oct  8 22:32:57 2015
<br><br><font color=yellow>*Hideki(Assassin241) tilted his head to the left, a popping noise was heard. He closed his eyes. And chuckled slightly.* - Thu Oct  8 22:33:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: He's surrounded on all ends.. - Thu Oct  8 22:33:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You know...... - Thu Oct  8 22:33:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You know what, lets have a friendly spar. - Thu Oct  8 22:34:40 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: .. Is this man really that cocky. To threaten a Kumogakure Shinobi in their own village.. Hehn.. - Thu Oct  8 22:34:40 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: You must be an idiot if you think that I would accept a spar after our conversation. - Thu Oct  8 22:34:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Heh.. - Thu Oct  8 22:34:40 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Heiwa, back away.. - Thu Oct  8 22:34:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know Fujitora? - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: . . . .And if I do? - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, he's my cousin. - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: . . . . . . And? - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And.... - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are you in any relation to him? - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: square up little nigga - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Psychic_Warrior) says: . . . . . Friends you could say. - Thu Oct  8 22:35:31 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: This man! He's more depressing than my love life! - Thu Oct  8 22:37:13 2015
<br><br><font color=yellow>*Hideki(Assassin241) chuckled slightly, as he slowly opened his eyes again, his eyes no longer were three tomoe, no they formed three spikes of black that formed along the edges of their iris, that quickly transcended to the cornea's layers. They sharpened nearly instantly as the eye is formed, the iris however is centered around a dome like structure where spikes protrude. A number of three spikes are visable on each eye. He glanced at the males face, his sharingan however has definately developed greatly.

His face however bore a blank expression.* - Thu Oct  8 22:38:04 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Hey, Hideki. - Thu Oct  8 22:48:19 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
When Tesumi charged at Hideki, it was probably one of the most foolish things Tetsumi has probably ever done in his lfie, however he utilized the technique Niza taught him, and used the technique misdirect, basically slapped Tetsumi's attack away, and using his reflexes he quickly unsheathed a kunai, and aimed it toward Tetsumi's jugular, he aimed to end this as quickly as possible.* - Thu Oct  8 22:49:10 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Teach me everything you know. - Thu Oct  8 22:57:42 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Please. - Thu Oct  8 22:57:42 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You based god. - Thu Oct  8 22:58:33 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: *bows* - Thu Oct  8 22:58:33 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
got grabbed, and a strong voltage of electricity went through out his body, causing him of course to lose control and probably piss himself. However, Hideki by this point was at the man's mercy. He was panting of course, not cause of the chakra loss, but because his stamina was at an all time low. He wondered something however, why haven't we had our village gaurds here to attack such a man. The world, may never know.* - Thu Oct  8 23:02:49 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: ....Enough. - Thu Oct  8 23:02:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) got tossed to the side of the moutain, his back hitting against it rather hard, however he was panting pretty bad. He continued to look at this man. <....What the fuck just fucking happened...>* - Thu Oct  8 23:04:32 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Who the fuck am I? - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: A good question. - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Better have a good answer. - Thu Oct  8 23:06:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:07:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: That was...less impressive than I thought it would be... - Thu Oct  8 23:07:05 2015
<br><br><font color=yellow>*Hideki(Assassin241) watched as the two of them talked with one another, Baen was a real OG though, however he closed his eyes, and reopened them slowly, as he had deactivated his mangekyo sharingan. He was starting to get really, really tired by this point.* - Thu Oct  8 23:07:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: He's a real nigga. - Thu Oct  8 23:09:39 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Hideki seems okay. - Thu Oct  8 23:12:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: He only pissed himself. - Thu Oct  8 23:12:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: I should leave. - Thu Oct  8 23:12:12 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Wasn't that village destroied by that beast? - Thu Oct  8 23:13:04 2015
<br><br><font color=yellow>*Hideki(Assassin241) slowly started to get up, he ain't want no more problems, he was trying to leave this area for now.* - Thu Oct  8 23:20:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to leve then.* - Thu Oct  8 23:22:27 2015
<br><br><font color=yellow>*Hideki(Assassin241) appeared to the scene, however, he also activated his three tomoe sharingan. Watching as Reisen formed into paper birds.* - Thu Oct  8 23:42:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Hello, Sensei. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Hello. - Thu Oct  8 23:48:03 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Free for training? - Thu Oct  8 23:48:54 2015
