<br><font color=teal>*Reguel(Airide) says: He went somewhere with some girl. - Thu Oct  1 00:17:55 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I guess the asswhooping he got gave him brain damage -omit- - Thu Oct  1 00:36:41 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I guess we can start calling him Timmy -omit- - Thu Oct  1 00:36:41 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Reguel, have you met Marianna yet? - Thu Oct  1 00:37:32 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 00:37:32 2015
<br><br><font color=teal>*Reguel(Airide) says: I met her sister. - Thu Oct  1 00:38:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Her sister - Thu Oct  1 00:38:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ? - Thu Oct  1 00:38:24 2015
<br><br><font color=teal>*Reguel(Airide) says: I think it was, her name was Misa. - Thu Oct  1 00:38:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Oh, that Misa.  - Thu Oct  1 00:44:22 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Apparently she's  been in this village for a while, or was from this village. We picked her up when we went to Konoha.  - Thu Oct  1 00:45:13 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: She's Marianna's sister in law. - Thu Oct  1 00:45:13 2015
<br><br><font color=teal>*Reguel(Airide) says: Well we need to call her something. - Thu Oct  1 00:46:04 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm, we'll call the blonde Misa, Mia. - Thu Oct  1 00:46:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Well...I have a last name.. - Thu Oct  1 00:48:38 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Surname* - Thu Oct  1 00:48:38 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm fine with calling you Mia, what say you Kuro? - Thu Oct  1 00:49:29 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Mia? Okay..Guess I wont try and find a way to make it automatic.. - Thu Oct  1 00:49:29 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Well, I've always called Misa, Misa. - Thu Oct  1 00:53:45 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: The other Misa, I'm not too fond of to be honest. - Thu Oct  1 00:53:45 2015
<br><br><font color=teal>*Reguel(Airide) says: Yo. - Thu Oct  1 00:53:45 2015
<br><br><font color=teal>*Reguel(Airide) says: .... - Thu Oct  1 00:57:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Thu Oct  1 01:03:08 2015
<br><br><font color=teal>*Reguel(Airide) says: So that's your name. - Thu Oct  1 01:03:08 2015
<br><br><font color=teal>*Reguel(Airide) says: You were being so...quiet. - Thu Oct  1 01:03:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: When the fuck did everyone get here. - Thu Oct  1 01:04:00 2015
<br><br><font color=teal>*Reguel(Airide) says: So Mr. Crippled how's things? - Thu Oct  1 01:04:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Huh? Oh. - Thu Oct  1 01:05:42 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . - Thu Oct  1 01:05:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Terrible. - Thu Oct  1 01:05:42 2015
<br><br><font color=teal>*Reguel(Airide) says: I can tell. - Thu Oct  1 01:05:42 2015
<br><br><font color=yellow>*Hideki(Assassin241) sighed as he continued to sit on the wheelchair. He has a broken ribcage, and both of his femurs are also broken. Followed by bruises all across his body. It was definately a bad idea fighting Tetsujin.* - Thu Oct  1 01:06:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fam - Thu Oct  1 01:06:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Thu Oct  1 01:06:33 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Yeah...Spill... - Thu Oct  1 01:06:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was training with Niza, and Tetsujin appeared out of no where asking to spar. - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: So he charged at me. - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Reguel(Airide) says: Then he fucked your shit up. - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why is Hideki so weak? - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He broke into thousands of pieces.... And used those broken pieces and turned into steel senbons and impaled my body. - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: =omit= - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I could've died. - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: But you didn't. - Thu Oct  1 01:07:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm lucky, Kuro. - Thu Oct  1 01:08:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: His body also turned into steel. - Thu Oct  1 01:08:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Which is odd.. - Thu Oct  1 01:08:16 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think of this as a lesson. You faced death's door but didn't walk through.  Now what would happen if you desided to follow the path of hatred? - Thu Oct  1 01:09:07 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm a ninjutsu that turns your body steel. - Thu Oct  1 01:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I don't know if it's a ninjutsu, thats the thing. - Thu Oct  1 01:09:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  1 01:09:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm in a wheel chair. - Thu Oct  1 01:09:58 2015
<br><br><font color=teal>*Reguel(Airide) says: Train your mind. - Thu Oct  1 01:09:58 2015
<br><br><font color=teal>*Reguel(Airide) says: And you never did thank me. - Thu Oct  1 01:09:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Thu Oct  1 01:09:58 2015
