<br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What? - Wed Oct  7 22:11:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Do you see my arm!? - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Okay? - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: This is because. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I wasn't strong enough, I haven't trained enough. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your sister. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: That's on you.  - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Needs to train as well. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Cause see. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I could beat you right now. - Wed Oct  7 22:12:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Even with my broken arm.  - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Bully. - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm tryna help you. - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm one hundred percent black. - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: By beating me up? - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I know what I'm doin- - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yes. - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'm half black. - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Sooo. - Wed Oct  7 22:12:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: How old are you though? - Wed Oct  7 22:13:45 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ...I'm your brother and you don't know? - Wed Oct  7 22:13:45 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Shame on you. - Wed Oct  7 22:13:45 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: You are thirty five. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...No, I w-.. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: See? I know your age. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: What!? - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm twenty. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Do you even know how old I am brother? - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori, you hear this - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: - - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Fuck. - Wed Oct  7 22:14:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Damn - Wed Oct  7 22:15:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Bro. - Wed Oct  7 22:15:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You old.. - Wed Oct  7 22:15:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yeah.. - Wed Oct  7 22:15:28 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . . I didn't hear you clearly. - Wed Oct  7 22:15:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I started in the academy late. - Wed Oct  7 22:15:28 2015
