<br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: So... - Mon Nov  2 21:47:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Mon Nov  2 21:50:43 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How is everyone today. - Mon Nov  2 21:50:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Meh. - Mon Nov  2 21:52:25 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Ill take that as good - Mon Nov  2 21:53:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: 95/100 to A+ - Mon Nov  2 21:55:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Eh, alright. - Mon Nov  2 21:56:41 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Just wish our missions weren't so plain. - Mon Nov  2 21:56:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: They are the missions that the villagers need. - Mon Nov  2 21:57:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There is nothing we can do about them. - Mon Nov  2 21:57:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Pfft, so I need to sweep your office. - Mon Nov  2 21:58:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Once a freakin' day? - Mon Nov  2 21:58:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: A villager...requested it... - Mon Nov  2 21:58:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Speaking of missions. - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Are we gonna get some today? - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Can I have a single mission? I had a really rough night. - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Later on. - Mon Nov  2 21:59:15 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 22:00:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Why not now? - Mon Nov  2 22:00:06 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Because they wontbe handed in now. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Fine. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And it is three daily missions. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And? - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You have the whole of today and part of tomorrow to do them. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The faster you do them the better the villager satisfaction. - Mon Nov  2 22:00:57 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I also need my reward from yesterday's mission. - Mon Nov  2 22:01:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I finished it easy. - Mon Nov  2 22:01:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And yet, you're stopping me from getting the missions, and doing them now? - Mon Nov  2 22:01:48 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I ffinished mine for today. *Yawn* - Mon Nov  2 22:06:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You will receive them today. - Mon Nov  2 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mizukage-Senpai. - Mon Nov  2 22:48:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm? - Mon Nov  2 22:50:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I was wondering something... - Mon Nov  2 22:51:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: What type of techniques do you use? - Mon Nov  2 22:51:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Taijutsu..? - Mon Nov  2 22:51:18 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ....I need to become stronger. - Mon Nov  2 22:51:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Or uhm..N-Ninjutsu? - Mon Nov  2 22:53:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Or uhm..Genjutsu? - Mon Nov  2 22:53:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: What the fuck are you doing, Zaen? - Mon Nov  2 23:00:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sucker punching someone is not the way to go. - Mon Nov  2 23:02:24 2015
<br><br><font color=teal>*Asso, Zaen(Wynokx) says: I made myself known. He had more than enough time to counter...He's faster than I am. Probably stronger overall honestly. - Mon Nov  2 23:03:15 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The fact that he asked what you were doing determines that it was a sucker punch. - Mon Nov  2 23:06:40 2015
