<br><font color=teal>*Kilm(Vysasi) says: Tell him I've found Ushi's will . . . - Sun Oct  4 16:56:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Just like he wanted. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh? - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: How? - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I've talked in Kumogakure. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And Niza confirmed it. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What Ushinawa always wanted. - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmm? - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: . . . - Sun Oct  4 16:57:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: It's not like I'll tell you it right now. - Sun Oct  4 16:59:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: His ears only. - Sun Oct  4 16:59:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Just tell him that i'm ready for the agreement. - Sun Oct  4 17:00:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see. - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Zenaki creeps me out. - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Where did you need that agreement for again? - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Like, does she have emotions at all? - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What I needed it for? - Sun Oct  4 17:01:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Sun Oct  4 17:01:52 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Progression. - Sun Oct  4 17:01:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm.. - Sun Oct  4 17:01:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Right.  - Sun Oct  4 17:01:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What do you mean with progression Kilm? - Sun Oct  4 17:03:34 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Do you have something in mind for that? - Sun Oct  4 17:03:34 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I mean by progression . . . Anything that can fasten it up or give me new abilities. - Sun Oct  4 17:04:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do not.  Hm.. - Sun Oct  4 17:05:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I will tell him. - Sun Oct  4 17:05:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Sun Oct  4 17:05:16 2015
<br><br><font color=teal>*Kilm(Vysasi) says: See you later. - Sun Oct  4 17:05:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm.. - Sun Oct  4 17:06:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You needed anything? - Sun Oct  4 17:06:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Huh? - Sun Oct  4 17:06:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Oh, no not really. - Sun Oct  4 17:06:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I just kind of zoned out for a second. - Sun Oct  4 17:06:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So, what do you use your lab for? If you don't mind me asking. - Sun Oct  4 17:06:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Experiments? - Sun Oct  4 17:07:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It's my house kind off. - Sun Oct  4 17:08:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If I'm not outside, I am there. - Sun Oct  4 17:08:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Experiments? - Sun Oct  4 17:09:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What. .  Do you experiment on? - Sun Oct  4 17:09:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Don't tell me she used people as experiments. .  - Sun Oct  4 17:09:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: People? Animals. Blablabla. - Sun Oct  4 17:10:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Same thing. - Sun Oct  4 17:10:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . Why? - Sun Oct  4 17:11:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Zetsumo told me to do so. - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And Master aswell. - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: So I do. - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: As they wish. - Sun Oct  4 17:12:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: For medical stuff. - Sun Oct  4 17:12:57 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You know. The boring stuff. - Sun Oct  4 17:12:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . So that's why there're corpses are all over the place? - Sun Oct  4 17:12:57 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Kinda yea. - Sun Oct  4 17:13:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Gotta practice hm. - Sun Oct  4 17:13:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: How do you even get all those corpses? - Sun Oct  4 17:13:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: And eat. - Sun Oct  4 17:13:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: People who got executed? From prisons. - Sun Oct  4 17:13:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I use them to test on - Sun Oct  4 17:13:48 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: z9hush - Sun Oct  4 17:14:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: z9cannibalism is best ok - Sun Oct  4 17:14:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Okay then. - Sun Oct  4 17:14:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Doesn't it creep you. .  Out? - Sun Oct  4 17:14:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: No. - Sun Oct  4 17:15:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Right . . - Sun Oct  4 17:16:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: What does Fujitora see in this woman? - Sun Oct  4 17:17:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Is it. .  Fun? - Sun Oct  4 17:18:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Zenaki. - Sun Oct  4 17:18:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: It is fun. - Sun Oct  4 17:18:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And yes? - Sun Oct  4 17:18:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: About the thing we talked about several days ago. - Sun Oct  4 17:18:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Ah yes. - Sun Oct  4 17:18:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Working with corpses. .  Is fun? - Sun Oct  4 17:19:47 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'll ehm. .  - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Just return to the square. - Sun Oct  4 17:22:20 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) backs up quickly.* - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So, how's everyone doing? - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Not bad, - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Good. - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Think I want to do a mission. - Sun Oct  4 17:22:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm doing well. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: A mission? - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Ahuh. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd be willing to, go on it with her. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's a skilled Shinobi. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hassan, sir. You told me that you'd ask the Gezo to bring me a weapon if I improved, right? - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's my charge afterall. - Sun Oct  4 17:23:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I think I've improved a bit. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---Hassan, There are new weapons on the market as well. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And a strong katana would really help me out. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Diamond Weapons the Gezo are selling them. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sound expnsive. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fifty Million for a Kunai. - Sun Oct  4 17:24:03 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: This village was a bandit camp 2 months ago - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: A diamond bible.... No! Temptataion will not get the best of me... - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: With the worst economy and a GDP that made me cough up blood. - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Started from the Bottom, Now we're here. - Sun Oct  4 17:24:54 2015
