<br><font color=teal>*Nari(Ej247) whispers: Wow these fish cakes are dry. - Mon Nov  9 03:49:58 2015
<br><br><font color=yellow>*Nari(Ej247) grabs teh hot sauce bottle and would drown the fish cakes in hot sauce.* - Mon Nov  9 03:50:49 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Taste fine to me. - Mon Nov  9 03:52:32 2015
<br><br><font color=teal>*Nari(Ej247) whispers: You say that about every thing. - Mon Nov  9 03:52:32 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Any way I was thinking we can buy a new couch. - Mon Nov  9 03:53:23 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Old one is getting old. - Mon Nov  9 03:53:23 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: The old one is comfortable. - Mon Nov  9 03:54:14 2015
<br><br><font color=yellow>*Nari(Ej247) would cut up the chicken that was hers putting few pieces on her fork then in her mouth chewing and such.* - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Nari(Ej247) whispers: It has stains on it though. - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Like really how much longer do you want to keep it. - Mon Nov  9 03:55:05 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Until it breaks obviously. - Mon Nov  9 03:55:05 2015
<br><br><font color=teal>*Nari(Ej247) whispers: No, no..That's not happening. - Mon Nov  9 03:55:56 2015
<br><br><font color=teal>*Nari(Ej247) whispers: We are just going to cut back from junk food to buy a new couch. - Mon Nov  9 03:55:56 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Babe you should grow a stash. - Mon Nov  9 04:00:12 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: W-What? Why? - Mon Nov  9 04:00:12 2015
<br><br><font color=teal>*Nari(Ej247) whispers: It might look good on you. - Mon Nov  9 04:01:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: What's wrong with me now? - Mon Nov  9 04:01:55 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Nothing Iw as just suggesting sometihng. - Mon Nov  9 04:01:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Nah. - Mon Nov  9 04:01:55 2015
<br><br><font color=yellow>*Nari(Ej247) would take a few bites of her food rolling her eyes.* - Mon Nov  9 04:01:55 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Don't roll your eyes. - Mon Nov  9 04:05:20 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Oh yeah? - Mon Nov  9 04:05:20 2015
<br><br><font color=teal>*Nari(Ej247) whispers: What you going to do about it? - Mon Nov  9 04:06:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: D'unno. - Mon Nov  9 04:06:11 2015
<br><br><font color=teal>*Nari(Ej247) whispers: (she said in a joking tone( - Mon Nov  9 04:06:11 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Yeah, what I thought. - Mon Nov  9 04:06:11 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Perhaps make you spend every second of the day with me~ - Mon Nov  9 04:06:11 2015
<br><br><font color=teal>*Nari(Ej247) whispers: No.... - Mon Nov  9 04:07:02 2015
