<br><font color=teal>*Marrisa(Roxinea) says: Hello. .  - Thu Oct  1 05:32:48 2015
<br><br><font color=teal>*Domon(KazutoAyamu) says: Hi. - Thu Oct  1 05:34:30 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Surely you could. - Fri Oct  2 22:34:40 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You too Sabo, you coming right? - Fri Oct  2 22:35:31 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I suppose I could. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Sabo. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Come here. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: For a moment. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'd like to catch up with you of course. - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Hm? - Fri Oct  2 22:36:22 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: D'aww, I remember when Sabo was such a wittle boy, so quiet and shy.~ - Fri Oct  2 22:37:13 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) whispers: Sorry.. - Fri Oct  2 22:38:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: God damnit sabo, just do it. - Fri Oct  2 22:39:47 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: -- - Fri Oct  2 22:39:47 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Tsk... - Fri Oct  2 22:39:47 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Food..? - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Eh, not in the mood. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Later though. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I have to resolve some things here. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Oi... - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Erebus.. - Fri Oct  2 22:40:38 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I suggest.... - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: You keep this girl on lock down. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: No. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: It's fine. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Really? - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Last I heard.. - Fri Oct  2 22:42:20 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: She said something about.. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Kenshin. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: She did. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Do not worry. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I've got it handled. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why you tryna' start some beef for? - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Cause I can. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: The beef began... - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Long ago. - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Why you tryna' cook the beef for? - Fri Oct  2 22:43:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: If you wanna' start beef, I'm right here. - Fri Oct  2 22:44:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 22:44:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Everyone is always so...hostile... - Fri Oct  2 22:44:54 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Heya, Ninny. - Fri Oct  2 22:48:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: The fuck? - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hey..so is this leader guy..around? - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Wasteman. - Fri Oct  2 22:49:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Fri Oct  2 22:50:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What's with the silence? - Fri Oct  2 22:50:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ............... - Fri Oct  2 22:50:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: All a guy wants to do is spread a lot of love, and happiness! - Fri Oct  2 22:51:44 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Welcome back. - Fri Oct  2 22:51:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah..it's nice to be back. - Fri Oct  2 22:52:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .......... - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So... - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who likes ducks? - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Everyone? That's great. - Fri Oct  2 22:54:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Think about it, if I gave everyone a duck. You guys would be happy, right? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of course! - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: What kind of duck? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: --- - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I'm allergic to ducks. - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Allergic to ducks? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you sure? - Fri Oct  2 22:55:08 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Yes. - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Have you ever tried holding a duck up close to you? - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Yes. - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I sneezed - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9what did you do - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen..listen..you're missing the point. - Fri Oct  2 22:56:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: With a duck..you're not duckless. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: But - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: With a duck - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Therefore, you're happy. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I could die. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen, I didn't say what you had to do with the duck! - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Nah nah! - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I can't be around ducks in general. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're what we call a, "Sad Suzaku". - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9I know - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: I know. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: It's okay. - Fri Oct  2 22:56:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 23:01:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Fri Oct  2 23:03:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9and such - Fri Oct  2 23:04:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd like to know where they are, so I can speak with them in a more private setting.. - Fri Oct  2 23:12:12 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: God damn..sabo.. - Fri Oct  2 23:14:46 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: 9for - Fri Oct  2 23:25:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: He...paid for her..? - Fri Oct  2 23:27:34 2015
<br><br><font color=teal>*Marrisa(Roxinea) thinks: I wonder if I can rent Kohaku. . Well. . If I can I'll have her teach me about my family.  - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I feel as if that's a steal.~ - Fri Oct  2 23:28:25 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Fri Oct  2 23:29:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..stopping a beautiful dance with just a stretch of your hand.. - Fri Oct  2 23:36:06 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Do whatever you want with her, I don't care. - Fri Oct  2 23:37:48 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: She's mine. - Fri Oct  2 23:37:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 23:37:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Assuming you're the person I seek. Do you have any plans for this place..? - Fri Oct  2 23:38:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: These people...have some strange mindsets... - Fri Oct  2 23:38:40 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Don't hurt her Suitengu. .  - Fri Oct  2 23:38:40 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Fri Oct  2 23:50:36 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . Are you an Uchiha? - Fri Oct  2 23:50:36 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: A what? - Fri Oct  2 23:50:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..I can't blame you. I am just a random guy. A simple man of the cloth. - Fri Oct  2 23:53:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So! - Fri Oct  2 23:54:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Would any of you trust me with your lives? - Fri Oct  2 23:54:52 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: .... - Fri Oct  2 23:56:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ....... - Fri Oct  2 23:57:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Misa would?! - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Where is this Misa? - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You said.. - Fri Oct  2 23:58:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says:  "Misa"...right? That means they would trust me.. - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ......... - Fri Oct  2 23:59:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well then.. - Sat Oct  3 00:00:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That hurts. I guess crying myself to sleep will be the plan for tonight... - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: That guy is one strange character... - Sat Oct  3 00:00:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So! Leader Guy...shall we discuss this more? - Sat Oct  3 00:01:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe over a candle-lit dinner? Well..I guess moonlight could work.. - Sat Oct  3 00:02:33 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Yeah, no thanks. - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I don't role like that. - Sat Oct  3 00:03:24 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Ask Takeda. - Sat Oct  3 00:04:16 2015
