<br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm? - Sun Nov  8 02:06:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: She seems like a pretty sweet girl. - Sun Nov  8 02:07:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan, any new developments today? - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pretty peaceful. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I wish I could find someone to spar though. - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats a relief - Sun Nov  8 02:10:33 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Is anyone on you level? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Huh? - Sun Nov  8 02:11:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Your pretty strong... I dont think many can keep up with you - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... I could spar you.... but that's if you want.. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Then again... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You are not a trustworthy ninja to me. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I know... - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Bryson, I'm nothing special. - Sun Nov  8 02:12:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Not in my opinion - Sun Nov  8 02:13:07 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Funny Yan... I told you the same thing when I first met you - Sun Nov  8 02:15:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh? Well, seems to make sense. - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im good, being a doctor... being a priest... sensing evil... the usual - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Cool, cool. - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need a medical ninja to teach me this damned medical technique. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I can't get the time of day with Zenaki. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ask.... Reguel - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Maybe you and I can make some sort of trad-- - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I haven't seen him since yesterday. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be happy to work something out with you, Kiyoko. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I like you more than Reguel anyways..he's a bit annoying. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh, your a medic Kiyoko? - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Mhm. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: He is rather.... hard to deal with... - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Thats great another medic in Sunagakure... welcome... you will make another addition to the corps. As long as you actually learn medicine - Sun Nov  8 02:23:21 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Damn, hocus pocus XD - Sun Nov  8 16:21:20 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: u-umm...does it d-disturb you when you t-try? - Sun Nov  8 16:29:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Disturb me when I try?  - Sun Nov  8 16:29:52 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: so umm s-sleep - Sun Nov  8 16:32:25 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: to' - Sun Nov  8 16:32:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh yea... Kinda. I can't really lay down on my belly like I want to. Plus it's.. Just in the way.. Plus some other events around like surgery's I have to do and such. Makes me exhausted. - Sun Nov  8 16:34:59 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: t-they make y-you do s-surgery? - Sun Nov  8 16:35:50 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: isnt there a-any else...c-capable of s-such a thing? - Sun Nov  8 16:36:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: There is nobody else for as far as I know.  - Sun Nov  8 16:37:32 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: w-what about b-bryson? - Sun Nov  8 16:38:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't know if he is skilled enough yet. Perhaps he is. But then he didn't tell me yet. - Sun Nov  8 16:39:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello Yan. - Sun Nov  8 16:50:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How are ya, Lera? It's good to see you back... - Sun Nov  8 16:51:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm...actually pretty good. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yourself? - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, I'm doing good. I am a little hung over from a night of drinking but I enjoyed myself. - Sun Nov  8 16:53:45 2015
<br><br><font color=teal>*Remy(SS2015) says: . . . - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh there you are Yan. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hey Chikyu. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: You and me both. - Sun Nov  8 16:55:28 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) punches him harder in the shoulder, though it was clearly one of her usual friendly gestures. "Well good, I did promise you a spar in the morning. So, when you're filling up to it. I'll be more then ready to take you on!" She says loudly, far more energetic then Lera or Yan.* - Sun Nov  8 16:56:19 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) began reving one of her arms around, spinning it in circles. "Oh if you want to fight now, then lets do it! You were just looking sluggish there." She said, really feeling up to another fight. Though, she had a feeling this would end up like all the others.* - Sun Nov  8 17:00:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mind if I watch? - Sun Nov  8 17:05:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't see why not. Everyone watches spars. - Sun Nov  8 17:06:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I won't be showing anything particularly secret...not that I really have anything. heh. - Sun Nov  8 17:06:33 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) was already taking her steps marching towards the ground, as he patted by her. She turned around laughing "Of course, you can watch silly!" She said not afraid to show off the same techiniques, she already had shown to Lera. 

Looked over to Yan, as he said he had to go somewhere. "Don't chicken out! You might not get another chance." She said finishing with a laughter, as she continued to the training arena.* - Sun Nov  8 17:09:07 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) already was swinging her sword several times in front of her. Her body not seeming to have a care in the world for swinging around the giant sword. Her blade cutting the air in front of her. The genin all the more ready for her upcoming match, if she didn't die from waiting too long for him to show up since he did get side tracked. She seem far too eager for some good rough housing.* - Sun Nov  8 17:19:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, sorry about the wait... - Sun Nov  8 17:39:50 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) continues waving her sword up and down, until Yan comes back. She seems a bit sweating, as she waves the sword back and forth ."Ah, finally you're back!"* - Sun Nov  8 17:41:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't get tired before you have to deal with me. - Sun Nov  8 17:43:15 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) jumped up waving her sword. "Tired, never!"* - Sun Nov  8 17:46:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then come on! - Sun Nov  8 17:47:31 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) began to charge at him, sword raised as she only slowed her momentum a few feet away from him. When she finally reached her stop, she was already in position. Her blade hanging over her head, as she then took one last step forwawrd to Yan. Her blade coming down in an arc over his shoulder, being proppelled by gravity at his being. "VON GIEN!" * - Sun Nov  8 17:51:47 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) let out a surprised, "Ahh!" to the clones being summoned. She pointed at him "Hey thats not fair! We didn't start yet." She said stopping her feet on the ground. Though she still readied her blade, pulling it over her shoulder.  "Well, like my dad said. Battle isn't fair." She stared at the four clones looking at them. Her eyes closing for a moment for a rather surprising moment of thought from the girl.

She then seemingly abandoned any snese of strategy, as she held her blade out fully with two arms. She then took a full force run at the center clone using her blade as almost a lance. Trying to drive it into the stomach of the first clone, in an attempt to push it all the way through towards Yan himself.  * - Sun Nov  8 18:07:08 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Hello ma'am. - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....? - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes? - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: So, - Sun Nov  8 18:12:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Barf corrected me - Sun Nov  8 18:12:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: He said your not a man. - Sun Nov  8 18:12:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Your a "Tommy Boy" - Sun Nov  8 18:12:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: How old are you kid? - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Fifteen, according to the orphanage. - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: But I like to think i'm thirty-four. - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: He's like mentaly retarded chipmunk... - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: Er...sure. - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Who what's your name? - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera... - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Lera ? - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira. - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It means White. - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Right...nice to meet you...I think? - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: So, - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you have a brother? - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes I do. - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: What's his name? - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Fujitora.. - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: --. - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...That scares you? - Sun Nov  8 18:17:23 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: He's evil. - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: Is he now. - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: I think he's rather nice actually. - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: WRONG! - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Come with me ... - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:19:56 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) watched the attack get sucked into the mud. Her mouth pursing to let out a "Ooohhh. Thats cool." She stated, as her swords was now embedded in a pile of mud. Her hands trying to pull back, but the mud was just too thick for her. She then just laughed it off, as the various blunted spears came after her. "Guess I lose! Hahaha." Just before she then got beat in by the blunted tips.* - Sun Nov  8 18:25:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Nov  8 18:25:55 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oww... those are going to leave some bruises. Hahaha. - Sun Nov  8 18:26:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, sorry about that. - Sun Nov  8 18:27:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Its all good, still easier on me then my dad. - Sun Nov  8 18:27:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: He seems to believe that Fujitora has done something 'evil' with zenaki. - Sun Nov  8 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: He said he intends kill him in about...six years. - Sun Nov  8 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Can't say I'm worried. - Sun Nov  8 18:29:20 2015
