<br><font color=teal>*Sanoke(Gamuhz2) says: He's too carefree. - Tue Dec  1 02:05:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: All of those Solids I'd Have to do Like noooooo. - Tue Dec  1 02:05:52 2015
<br><br><font color=teal>*Squirtle(Ichigo10101) says: Run yo pockets! Squirtle bout to whoop yo ass! - Tue Dec  1 02:06:43 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Catch this bible - Tue Dec  1 02:07:34 2015
<br><br><font color=yellow>*Yuda(Booty Eater) unzips.* - Tue Dec  1 02:09:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ai is old enough but there are other concerns, Sanoke. - Tue Dec  1 02:12:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I realize. - Tue Dec  1 02:13:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho, who wanna throw ninjutsu at me? - Tue Dec  1 02:13:32 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: That sounds like fun. - Tue Dec  1 02:13:32 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: .... - Tue Dec  1 02:14:24 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: I just wanna learn shit.... - Tue Dec  1 02:14:24 2015
<br><br><font color=teal>*Squirtle(Ichigo10101) says: I'm the Sage of Six Squirtle! - Tue Dec  1 02:15:15 2015
<br><br><font color=teal>*Squirtle(Osmanesanogo) says: Fuck you, copy squritle. - Tue Dec  1 02:16:06 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: it's ovr 4 u...fgt... - Tue Dec  1 02:20:22 2015
<br><br><font color=teal>*Squirtle(Osmanesanogo) says: FUSION SQURI - Tue Dec  1 02:20:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san. - Tue Dec  1 02:22:56 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hey. - Tue Dec  1 02:22:56 2015
