<br><font color=teal>*Heiwa(Wantpark) says: Yes. - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I had intent to defend myself.  - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I never said I had intent to harm. - Wed Dec  9 03:29:29 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You may have not killed him, but you are allied to the individual that did. - Wed Dec  9 03:29:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay...there you've been told what you've done... - Wed Dec  9 03:29:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Whether its true or not. - Wed Dec  9 03:29:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You may leave. - Wed Dec  9 03:29:29 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: You said, and I will quote 'Well...They made handseals. I reacted' - Wed Dec  9 03:29:29 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: That statement doesn't imply intent to harm. - Wed Dec  9 03:29:29 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Saying such a statement when intent to harm is thrown upon oneself does. - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: That is a direct statement of guilt. - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: --- - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: If you believe so. - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let's just leave things as is. They rejected my offer to pay his medical bills, and my help at resolving the situation.  Like I told them before when they did nothing to stop our harrassment, the other merchants will know of what has happened. - Wed Dec  9 03:30:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Oh boy... - Wed Dec  9 03:31:12 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Okay. Goodbye. - Wed Dec  9 03:31:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Reminds me so much of the Trilliam situation... - Wed Dec  9 03:31:12 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) thinks: Incredible. - Wed Dec  9 03:34:36 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) thinks: A horribly built argument---against me at least. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) thinks: Regardless, I applaud these children. - Wed Dec  9 03:36:19 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) thinks: An interesting group, one could say. - Wed Dec  9 03:36:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You could show a bit more respect to a kid you might've killed...no? - Wed Dec  9 03:36:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *:T* - Wed Dec  9 03:36:19 2015
